Group,group#,mouse#,time,order,nextDayCFU,Otu001,Otu002,Otu003,Otu004,Otu005,Otu006,Otu007,Otu008,Otu009,Otu010,Otu011,Otu012,Otu013,Otu014,Otu015,Otu016,Otu017,Otu018,Otu019,Otu020,Otu021,Otu022,Otu023,Otu024,Otu025,Otu026,Otu027,Otu028,Otu029,Otu030,Otu031,Otu032,Otu033,Otu034,Otu035,Otu036,Otu037,Otu038,Otu039,Otu040,Otu041,Otu042,Otu043,Otu044,Otu045,Otu046,Otu047,Otu048,Otu049,Otu050,Otu051,Otu052,Otu053,Otu054,Otu055,Otu056,Otu057,Otu058,Otu059,Otu060,Otu061,Otu062,Otu063,Otu064,Otu065,Otu066,Otu067,Otu068,Otu069,Otu070,Otu071,Otu072,Otu073,Otu074,Otu075,Otu076,Otu077,Otu078,Otu079,Otu080,Otu083,Otu084,Otu086,Otu088,Otu091,Otu092,Otu093,Otu094,Otu097,Otu101,Otu102,Otu105,Otu110,Otu119,Otu120,Otu122,Otu133,Otu138,Otu139,Otu145,Otu147,Otu150,Otu171,Otu172,Otu176,Otu178
116-3-D0,116,3,delayed,2,200,0.630769,0.079385,0,0.016615,0.145231,0,0.003077,0.002462,0,0,0.092923,0,0.004923,0,0,0.003692,0,0.020308,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116-4-D0,116,4,delayed,2,4600,0.173538,0.542769,0,0.051077,0.018462,0.000615,0.008615,0.014769,0.000615,0,0.148308,0.003077,0.016615,0,0,0.003077,0,0.015385,0.000615,0,0,0.000615,0,0,0,0,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116-5-D0,116,5,delayed,2,1100,0.710769,0.134769,0.000615,0.005538,0.022769,0,0.019692,0.003077,0,0,0.042462,0,0.006769,0,0,0.001231,0,0.049846,0,0,0,0,0,0.001231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040-1D0,40,1,on-time,1,116000000,0.002462,0.000615,0,0.001846,0.107077,0,0.861538,0,0,0,0,0,0,0,0.001231,0.024,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040-2D0,40,2,on-time,1,121000000,0.002462,0.001231,0.003077,0.001231,0.265231,0,0.700308,0.000615,0,0,0,0,0,0.000615,0,0.024615,0,0,0,0,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040-3D0,40,3,on-time,1,134000000,0.005538,0.002462,0.004923,0.001231,0.170462,0.000615,0.776,0.000615,0.000615,0,0,0,0,0.000615,0,0.032615,0,0,0,0,0.001231,0,0.001231,0,0,0,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040-4D0,40,4,on-time,1,93000000,0.003692,0.002462,0.004308,0.000615,0.176615,0.000615,0.710769,0.000615,0.001231,0,0,0.002462,0.000615,0,0.000615,0.046154,0,0.001231,0.003692,0,0.000615,0.002462,0,0.000615,0.003077,0,0.000615,0.003692,0.000615,0.000615,0,0.000615,0,0,0,0.000615,0,0,0,0,0.000615,0,0,0,0,0.003692,0,0,0.010462,0,0.000615,0,0,0,0,0,0,0,0,0.000615,0,0.000615,0,0,0,0,0,0,0.000615,0.003692,0,0.001231,0,0.002462,0,0,0,0,0,0,0.000615,0,0,0,0.000615,0,0.000615,0.001846,0,0,0,0,0,0,0.000615,0.000615,0,0,0,0,0,0,0.000615,0.000615,0,0
103-1-D0,103,1,on-time,1,18300000,0.393231,0.000615,0.008615,0,0.139077,0.001846,0.380308,0,0,0,0.017231,0,0.003692,0,0.005538,0.048615,0,0,0,0,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103-2-D0,103,2,on-time,1,38300000,0.012308,0.001231,0.009846,0,0.222154,0.002462,0.700923,0,0.000615,0,0.015385,0,0,0,0.000615,0.028308,0,0.001231,0,0.001231,0,0,0,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103-3-D0,103,3,on-time,1,43800000,0.057231,0.003077,0.020923,0.000615,0.241846,0.008615,0.591385,0,0,0,0.010462,0,0,0,0,0.062769,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
