Group,expgroup,nextDayCFU,Otu001,Otu003,Otu016,Otu004,Otu014,Otu005,Otu009,Otu007,Otu006,Otu002,Otu033,Otu008,Otu043,Otu015,Otu035,Otu013,Otu020,Otu018,Otu025,Otu034,Otu024,Otu021,Otu039,Otu022,Otu059,Otu027,Otu030,Other
002-1D-6,1untr,0,0.620077,0.163462,0.068692,0.107462,0.001,0.002231,0.005923,0.013308,0.005308,0.006538,0.002231,0.001,0.001,0.001615,0.001,0.003462,0.001,0.001,0.001,0.003462,0.002231,0.001,0.001,0.001615,0.001,0.001,0.002231,0.007152
002-1D-5,1untr,0,0.425,0.170846,0.092692,0.269308,0.001,0.001,0.007154,0.012692,0.005308,0.009615,0.001615,0.002846,0.001,0.001615,0.001,0.003462,0.001615,0.001,0.004692,0.001615,0.001615,0.001,0.001,0.001,0.001,0.001,0.001,0.00531
004-1D-1,1untr,0,0.570231,0.116077,0.051462,0.060077,0.001,0.004077,0.062538,0.081615,0.005308,0.004692,0.002231,0.012077,0.002231,0.007769,0.002231,0.002846,0.001,0.002231,0.001615,0.001615,0.004077,0.003462,0.002231,0.001,0.001,0.001,0.002231,0.020076
004-2D-1,1untr,0,0.679769,0.072385,0.021923,0.031154,0.001,0.049615,0.039769,0.058846,0.013923,0.005923,0.005923,0.012077,0.002231,0.002231,0.001,0.002231,0.001,0.002231,0.002231,0.001615,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.013923
004-359D-1,1untr,0,0.617,0.135154,0.031154,0.077923,0.001615,0.020692,0.036692,0.046538,0.009,0.007154,0.007769,0.008385,0.001615,0.001615,0.001,0.001,0.001,0.001615,0.001615,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.011464
004-4D-1,1untr,0,0.561615,0.254538,0.044692,0.032385,0.001,0.001,0.016385,0.026231,0.013308,0.026231,0.003462,0.012077,0.001,0.002846,0.001,0.002231,0.002231,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.015768
015-1D-1,1untr,0,0.482846,0.124692,0.039769,0.066846,0.001,0.093308,0.023769,0.021923,0.081,0.008385,0.003462,0.033615,0.010231,0.005923,0.001,0.002231,0.001,0.005308,0.002846,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.010846
015-2D-1,1untr,0,0.608385,0.126538,0.048385,0.027462,0.001615,0.017615,0.026231,0.039154,0.040385,0.004692,0.002846,0.017,0.023769,0.004692,0.001,0.001,0.002231,0.007769,0.002231,0.001,0.001,0.002231,0.001,0.001,0.001,0.001,0.001,0.015769
015-3D-1,1untr,0,0.598538,0.125308,0.045923,0.011462,0.001,0.046538,0.029308,0.036077,0.049,0.006538,0.003462,0.011462,0.012692,0.017615,0.001615,0.001615,0.001,0.005923,0.004077,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.010847
052-1-D-1,1untr,0,0.586846,0.180692,0.018231,0.074846,0.043462,0.003462,0.007154,0.021923,0.010231,0.029308,0.007769,0.003462,0.001,0.007154,0.001,0.001615,0.001615,0.004692,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.014538
