CFU	group	mouse	day	abx	dose	delayed	cdiff	preAbx	recovDays
024-3D4	1.2e+08	24	3	4	cef	0.5	FALSE	TRUE	FALSE	NA
024-3D5	7.7e+07	24	3	5	cef	0.5	FALSE	TRUE	FALSE	NA
024-3D6	9.2e+07	24	3	6	cef	0.5	FALSE	TRUE	FALSE	NA
024-3D7	5.8e+07	24	3	7	cef	0.5	FALSE	TRUE	FALSE	NA
024-3D8	640000	24	3	8	cef	0.5	FALSE	TRUE	FALSE	NA
024-3D9	12100000	24	3	9	cef	0.5	FALSE	TRUE	FALSE	NA
039-1D-6	0	39	1	-6	vanc	0.625	FALSE	TRUE	TRUE	NA
039-1D0	NA	39	1	0	vanc 	0.625	FALSE	TRUE	FALSE	NA
039-1D1	0	39	1	1	vanc 	0.625	FALSE	TRUE	FALSE	NA
039-1D10	3.1e+07	39	1	10	vanc 	0.625	FALSE	TRUE	FALSE	NA
039-1D2	1.15e+08	39	1	2	vanc 	0.625	FALSE	TRUE	FALSE	NA
039-1D3	8.6e+07	39	1	3	vanc 	0.625	FALSE	TRUE	FALSE	NA
039-1D4	2e+08	39	1	4	vanc 	0.625	FALSE	TRUE	FALSE	NA
039-1D5	9.4e+07	39	1	5	vanc 	0.625	FALSE	TRUE	FALSE	NA
039-1D6	9.5e+07	39	1	6	vanc 	0.625	FALSE	TRUE	FALSE	NA
039-1D7	2.2e+07	39	1	7	vanc 	0.625	FALSE	TRUE	FALSE	NA
039-1D8	46100000	39	1	8	vanc 	0.625	FALSE	TRUE	FALSE	NA
039-1D9	3.3e+07	39	1	9	vanc 	0.625	FALSE	TRUE	FALSE	NA
039-3D-6	0	39	3	-6	vanc	0.625	FALSE	TRUE	TRUE	NA
039-3D0	NA	39	3	0	vanc 	0.625	FALSE	TRUE	FALSE	NA
039-3D1	36500000	39	3	1	vanc 	0.625	FALSE	TRUE	FALSE	NA
039-3D10	2e+06	39	3	10	vanc 	0.625	FALSE	TRUE	FALSE	NA
039-3D2	1.6e+08	39	3	2	vanc 	0.625	FALSE	TRUE	FALSE	NA
039-3D4	1.48e+08	39	3	4	vanc 	0.625	FALSE	TRUE	FALSE	NA
039-3D5	6.7e+07	39	3	5	vanc 	0.625	FALSE	TRUE	FALSE	NA
039-3D6	1.17e+08	39	3	6	vanc 	0.625	FALSE	TRUE	FALSE	NA
039-3D7	3.9e+07	39	3	7	vanc 	0.625	FALSE	TRUE	FALSE	NA
039-3D8	47500000	39	3	8	vanc 	0.625	FALSE	TRUE	FALSE	NA
039-3D9	4e+07	39	3	9	vanc 	0.625	FALSE	TRUE	FALSE	NA
040-1D-1	NA	40	1	-1	metro	1	FALSE	TRUE	FALSE	NA
040-1D-6	0	40	1	-6	metro	1	FALSE	TRUE	TRUE	NA
040-1D0	NA	40	1	0	metro	1	FALSE	TRUE	FALSE	NA
040-1D1	1.16e+08	40	1	1	metro	1	FALSE	TRUE	FALSE	NA
040-1D10	1960000	40	1	10	metro	1	FALSE	TRUE	FALSE	NA
040-1D2	3.3e+07	40	1	2	metro	1	FALSE	TRUE	FALSE	NA
040-1D3	6.3e+07	40	1	3	metro	1	FALSE	TRUE	FALSE	NA
040-1D4	6.3e+07	40	1	4	metro	1	FALSE	TRUE	FALSE	NA
040-1D5	3.7e+07	40	1	5	metro	1	FALSE	TRUE	FALSE	NA
040-1D6	7200000	40	1	6	metro	1	FALSE	TRUE	FALSE	NA
040-1D7	2100000	40	1	7	metro	1	FALSE	TRUE	FALSE	NA
040-1D8	5100000	40	1	8	metro	1	FALSE	TRUE	FALSE	NA
040-1D9	7600000	40	1	9	metro	1	FALSE	TRUE	FALSE	NA
040-2D-1	NA	40	2	-1	metro	1	FALSE	TRUE	FALSE	NA
040-2D-6	0	40	2	-6	metro	1	FALSE	TRUE	TRUE	NA
040-2D0	NA	40	2	0	metro	1	FALSE	TRUE	FALSE	NA
040-2D1	1.21e+08	40	2	1	metro	1	FALSE	TRUE	FALSE	NA
040-2D10	2010000	40	2	10	metro	1	FALSE	TRUE	FALSE	NA
040-2D2	5.6e+07	40	2	2	metro	1	FALSE	TRUE	FALSE	NA
040-2D3	9.6e+07	40	2	3	metro	1	FALSE	TRUE	FALSE	NA
040-2D4	6.4e+07	40	2	4	metro	1	FALSE	TRUE	FALSE	NA
040-2D5	3.2e+07	40	2	5	metro	1	FALSE	TRUE	FALSE	NA
040-2D6	6700000	40	2	6	metro	1	FALSE	TRUE	FALSE	NA
040-2D7	2300000	40	2	7	metro	1	FALSE	TRUE	FALSE	NA
040-2D8	3550000	40	2	8	metro	1	FALSE	TRUE	FALSE	NA
040-2D9	3100000	40	2	9	metro	1	FALSE	TRUE	FALSE	NA
040-3D-1	NA	40	3	-1	metro	1	FALSE	TRUE	FALSE	NA
040-3D-6	0	40	3	-6	metro	1	FALSE	TRUE	TRUE	NA
040-3D0	NA	40	3	0	metro	1	FALSE	TRUE	FALSE	NA
040-3D1	1.34e+08	40	3	1	metro	1	FALSE	TRUE	FALSE	NA
040-3D10	3190000	40	3	10	metro	1	FALSE	TRUE	FALSE	NA
040-3D2	4.4e+07	40	3	2	metro	1	FALSE	TRUE	FALSE	NA
040-3D3	9.4e+07	40	3	3	metro	1	FALSE	TRUE	FALSE	NA
040-3D4	3.9e+07	40	3	4	metro	1	FALSE	TRUE	FALSE	NA
040-3D5	5e+07	40	3	5	metro	1	FALSE	TRUE	FALSE	NA
040-3D6	12700000	40	3	6	metro	1	FALSE	TRUE	FALSE	NA
040-3D7	6300000	40	3	7	metro	1	FALSE	TRUE	FALSE	NA
040-3D8	8050000	40	3	8	metro	1	FALSE	TRUE	FALSE	NA
040-3D9	8800000	40	3	9	metro	1	FALSE	TRUE	FALSE	NA
040-4D-1	NA	40	4	-1	metro	1	FALSE	TRUE	FALSE	NA
040-4D-6	0	40	4	-6	metro	1	FALSE	TRUE	TRUE	NA
040-4D0	NA	40	4	0	metro	1	FALSE	TRUE	FALSE	NA
040-4D1	9.3e+07	40	4	1	metro	1	FALSE	TRUE	FALSE	NA
040-4D10	3820000	40	4	10	metro	1	FALSE	TRUE	FALSE	NA
040-4D3	5.8e+07	40	4	3	metro	1	FALSE	TRUE	FALSE	NA
040-4D4	9.7e+07	40	4	4	metro	1	FALSE	TRUE	FALSE	NA
040-4D5	9e+06	40	4	5	metro	1	FALSE	TRUE	FALSE	NA
040-4D6	8300000	40	4	6	metro	1	FALSE	TRUE	FALSE	NA
040-4D7	3200000	40	4	7	metro	1	FALSE	TRUE	FALSE	NA
040-4D8	7060000	40	4	8	metro	1	FALSE	TRUE	FALSE	NA
040-4D9	6400000	40	4	9	metro	1	FALSE	TRUE	FALSE	NA
041-1D-1	NA	41	1	-1	metro	1	FALSE	FALSE	FALSE	NA
041-1D-6	0	41	1	-6	metro	1	FALSE	FALSE	TRUE	NA
041-1D0	NA	41	1	0	metro	1	FALSE	FALSE	FALSE	NA
041-1D1	NA	41	1	1	metro	1	FALSE	FALSE	FALSE	NA
041-1D10	NA	41	1	10	metro	1	FALSE	FALSE	FALSE	NA
041-1D2	NA	41	1	2	metro	1	FALSE	FALSE	FALSE	NA
041-1D3	NA	41	1	3	metro	1	FALSE	FALSE	FALSE	NA
041-1D4	NA	41	1	4	metro	1	FALSE	FALSE	FALSE	NA
041-1D5	NA	41	1	5	metro	1	FALSE	FALSE	FALSE	NA
041-1D6	NA	41	1	6	metro	1	FALSE	FALSE	FALSE	NA
041-1D7	NA	41	1	7	metro	1	FALSE	FALSE	FALSE	NA
041-1D8	NA	41	1	8	metro	1	FALSE	FALSE	FALSE	NA
041-1D9	NA	41	1	9	metro	1	FALSE	FALSE	FALSE	NA
041-3D-1	NA	41	3	-1	metro	1	FALSE	FALSE	FALSE	NA
041-3D-6	0	41	3	-6	metro	1	FALSE	FALSE	TRUE	NA
041-3D0	NA	41	3	0	metro	1	FALSE	FALSE	FALSE	NA
041-3D1	NA	41	3	1	metro	1	FALSE	FALSE	FALSE	NA
041-3D10	NA	41	3	10	metro	1	FALSE	FALSE	FALSE	NA
041-3D2	NA	41	3	2	metro	1	FALSE	FALSE	FALSE	NA
041-3D3	NA	41	3	3	metro	1	FALSE	FALSE	FALSE	NA
041-3D4	NA	41	3	4	metro	1	FALSE	FALSE	FALSE	NA
041-3D5	NA	41	3	5	metro	1	FALSE	FALSE	FALSE	NA
041-3D6	NA	41	3	6	metro	1	FALSE	FALSE	FALSE	NA
041-3D7	NA	41	3	7	metro	1	FALSE	FALSE	FALSE	NA
041-3D8	NA	41	3	8	metro	1	FALSE	FALSE	FALSE	NA
041-3D9	NA	41	3	9	metro	1	FALSE	FALSE	FALSE	NA
042-1D-6	0	42	1	-6	cef	0.3	FALSE	TRUE	TRUE	NA
042-1D0	NA	42	1	0	cef	0.3	FALSE	TRUE	FALSE	NA
042-1D1	76800000	42	1	1	cef	0.3	FALSE	TRUE	FALSE	NA
042-1D10	0	42	1	10	cef	0.3	FALSE	TRUE	FALSE	NA
042-1D2	14700000	42	1	2	cef	0.3	FALSE	TRUE	FALSE	NA
042-1D3	8e+07	42	1	3	cef	0.3	FALSE	TRUE	FALSE	NA
042-1D4	2.9e+07	42	1	4	cef	0.3	FALSE	TRUE	FALSE	NA
042-1D5	1640000	42	1	5	cef	0.3	FALSE	TRUE	FALSE	NA
042-1D6	7000	42	1	6	cef	0.3	FALSE	TRUE	FALSE	NA
042-1D7	5000	42	1	7	cef	0.3	FALSE	TRUE	FALSE	NA
042-1D8	0	42	1	8	cef	0.3	FALSE	TRUE	FALSE	NA
042-1D9	100	42	1	9	cef	0.3	FALSE	TRUE	FALSE	NA
042-2D-1	NA	42	2	-1	cef	0.3	FALSE	TRUE	FALSE	NA
042-2D-6	0	42	2	-6	cef	0.3	FALSE	TRUE	TRUE	NA
042-2D0	NA	42	2	0	cef	0.3	FALSE	TRUE	FALSE	NA
042-2D1	1110000	42	2	1	cef	0.3	FALSE	TRUE	FALSE	NA
042-2D10	0	42	2	10	cef	0.3	FALSE	TRUE	FALSE	NA
042-2D2	3200000	42	2	2	cef	0.3	FALSE	TRUE	FALSE	NA
042-2D3	5.8e+07	42	2	3	cef	0.3	FALSE	TRUE	FALSE	NA
042-2D4	5e+05	42	2	4	cef	0.3	FALSE	TRUE	FALSE	NA
042-2D5	6000	42	2	5	cef	0.3	FALSE	TRUE	FALSE	NA
042-2D6	600	42	2	6	cef	0.3	FALSE	TRUE	FALSE	NA
042-2D7	0	42	2	7	cef	0.3	FALSE	TRUE	FALSE	NA
042-2D8	0	42	2	8	cef	0.3	FALSE	TRUE	FALSE	NA
042-2D9	0	42	2	9	cef	0.3	FALSE	TRUE	FALSE	NA
042-3D-1	NA	42	3	-1	cef	0.3	FALSE	TRUE	FALSE	NA
042-3D-6	0	42	3	-6	cef	0.3	FALSE	TRUE	TRUE	NA
042-3D0	NA	42	3	0	cef	0.3	FALSE	TRUE	FALSE	NA
042-3D1	38600000	42	3	1	cef	0.3	FALSE	TRUE	FALSE	NA
042-3D10	0	42	3	10	cef	0.3	FALSE	TRUE	FALSE	NA
042-3D2	1.45e+08	42	3	2	cef	0.3	FALSE	TRUE	FALSE	NA
042-3D3	9e+07	42	3	3	cef	0.3	FALSE	TRUE	FALSE	NA
042-3D4	NA	42	3	4	cef	0.3	FALSE	TRUE	FALSE	NA
042-3D5	1000	42	3	5	cef	0.3	FALSE	TRUE	FALSE	NA
042-3D6	200	42	3	6	cef	0.3	FALSE	TRUE	FALSE	NA
042-3D7	0	42	3	7	cef	0.3	FALSE	TRUE	FALSE	NA
042-3D8	0	42	3	8	cef	0.3	FALSE	TRUE	FALSE	NA
042-3D9	0	42	3	9	cef	0.3	FALSE	TRUE	FALSE	NA
042-4D-1	NA	42	4	-1	cef	0.3	FALSE	TRUE	FALSE	NA
042-4D-6	0	42	4	-6	cef	0.3	FALSE	TRUE	TRUE	NA
042-4D0	NA	42	4	0	cef	0.3	FALSE	TRUE	FALSE	NA
042-4D1	65600000	42	4	1	cef	0.3	FALSE	TRUE	FALSE	NA
042-4D10	0	42	4	10	cef	0.3	FALSE	TRUE	FALSE	NA
042-4D2	2.5e+08	42	4	2	cef	0.3	FALSE	TRUE	FALSE	NA
042-4D3	8800000	42	4	3	cef	0.3	FALSE	TRUE	FALSE	NA
042-4D4	2e+05	42	4	4	cef	0.3	FALSE	TRUE	FALSE	NA
042-4D5	20000	42	4	5	cef	0.3	FALSE	TRUE	FALSE	NA
042-4D6	400	42	4	6	cef	0.3	FALSE	TRUE	FALSE	NA
042-4D7	0	42	4	7	cef	0.3	FALSE	TRUE	FALSE	NA
042-4D8	0	42	4	8	cef	0.3	FALSE	TRUE	FALSE	NA
042-4D9	0	42	4	9	cef	0.3	FALSE	TRUE	FALSE	NA
043-1D-1	NA	43	1	-1	cef	0.1	FALSE	TRUE	FALSE	NA
043-1D-6	0	43	1	-6	cef	0.1	FALSE	TRUE	TRUE	NA
043-1D0	NA	43	1	0	cef	0.1	FALSE	TRUE	FALSE	NA
043-1D1	0	43	1	1	cef	0.1	FALSE	TRUE	FALSE	NA
043-1D10	0	43	1	10	cef	0.1	FALSE	TRUE	FALSE	NA
043-1D2	0	43	1	2	cef	0.1	FALSE	TRUE	FALSE	NA
043-1D3	0	43	1	3	cef	0.1	FALSE	TRUE	FALSE	NA
043-1D4	0	43	1	4	cef	0.1	FALSE	TRUE	FALSE	NA
043-1D5	0	43	1	5	cef	0.1	FALSE	TRUE	FALSE	NA
043-1D6	0	43	1	6	cef	0.1	FALSE	TRUE	FALSE	NA
043-1D7	0	43	1	7	cef	0.1	FALSE	TRUE	FALSE	NA
043-1D8	0	43	1	8	cef	0.1	FALSE	TRUE	FALSE	NA
043-1D9	0	43	1	9	cef	0.1	FALSE	TRUE	FALSE	NA
043-2D-1	NA	43	2	-1	cef	0.1	FALSE	TRUE	FALSE	NA
043-2D-6	0	43	2	-6	cef	0.1	FALSE	TRUE	TRUE	NA
043-2D0	NA	43	2	0	cef	0.1	FALSE	TRUE	FALSE	NA
043-2D1	0	43	2	1	cef	0.1	FALSE	TRUE	FALSE	NA
043-2D10	0	43	2	10	cef	0.1	FALSE	TRUE	FALSE	NA
043-2D2	0	43	2	2	cef	0.1	FALSE	TRUE	FALSE	NA
043-2D3	0	43	2	3	cef	0.1	FALSE	TRUE	FALSE	NA
043-2D4	0	43	2	4	cef	0.1	FALSE	TRUE	FALSE	NA
043-2D5	0	43	2	5	cef	0.1	FALSE	TRUE	FALSE	NA
043-2D6	0	43	2	6	cef	0.1	FALSE	TRUE	FALSE	NA
043-2D7	0	43	2	7	cef	0.1	FALSE	TRUE	FALSE	NA
043-2D8	0	43	2	8	cef	0.1	FALSE	TRUE	FALSE	NA
043-2D9	0	43	2	9	cef	0.1	FALSE	TRUE	FALSE	NA
043-3D-1	NA	43	3	-1	cef	0.1	FALSE	TRUE	FALSE	NA
043-3D-6	0	43	3	-6	cef	0.1	FALSE	TRUE	TRUE	NA
043-3D0	NA	43	3	0	cef	0.1	FALSE	TRUE	FALSE	NA
043-3D1	300	43	3	1	cef	0.1	FALSE	TRUE	FALSE	NA
043-3D10	0	43	3	10	cef	0.1	FALSE	TRUE	FALSE	NA
043-3D2	0	43	3	2	cef	0.1	FALSE	TRUE	FALSE	NA
043-3D3	0	43	3	3	cef	0.1	FALSE	TRUE	FALSE	NA
043-3D4	0	43	3	4	cef	0.1	FALSE	TRUE	FALSE	NA
043-3D5	0	43	3	5	cef	0.1	FALSE	TRUE	FALSE	NA
043-3D6	0	43	3	6	cef	0.1	FALSE	TRUE	FALSE	NA
043-3D7	0	43	3	7	cef	0.1	FALSE	TRUE	FALSE	NA
043-3D8	0	43	3	8	cef	0.1	FALSE	TRUE	FALSE	NA
043-3D9	0	43	3	9	cef	0.1	FALSE	TRUE	FALSE	NA
046-1D-6	0	46	1	-6	strep	0.1	FALSE	TRUE	TRUE	NA
046-1D0	NA	46	1	0	strep	0.1	FALSE	TRUE	FALSE	NA
046-1D1	100	46	1	1	strep	0.1	FALSE	TRUE	FALSE	NA
046-1D10	0	46	1	10	strep	0.1	FALSE	TRUE	FALSE	NA
046-1D2	100	46	1	2	strep	0.1	FALSE	TRUE	FALSE	NA
046-1D3	0	46	1	3	strep	0.1	FALSE	TRUE	FALSE	NA
046-1D4	0	46	1	4	strep	0.1	FALSE	TRUE	FALSE	NA
046-1D5	0	46	1	5	strep	0.1	FALSE	TRUE	FALSE	NA
046-1D6	0	46	1	6	strep	0.1	FALSE	TRUE	FALSE	NA
046-1D7	0	46	1	7	strep	0.1	FALSE	TRUE	FALSE	NA
046-1D8	0	46	1	8	strep	0.1	FALSE	TRUE	FALSE	NA
046-1D9	0	46	1	9	strep	0.1	FALSE	TRUE	FALSE	NA
046-2D-6	0	46	2	-6	strep	0.1	FALSE	TRUE	TRUE	NA
046-2D0	NA	46	2	0	strep	0.1	FALSE	TRUE	FALSE	NA
046-2D1	100	46	2	1	strep	0.1	FALSE	TRUE	FALSE	NA
046-2D10	0	46	2	10	strep	0.1	FALSE	TRUE	FALSE	NA
046-2D2	2100	46	2	2	strep	0.1	FALSE	TRUE	FALSE	NA
046-2D3	0	46	2	3	strep	0.1	FALSE	TRUE	FALSE	NA
046-2D4	0	46	2	4	strep	0.1	FALSE	TRUE	FALSE	NA
046-2D5	0	46	2	5	strep	0.1	FALSE	TRUE	FALSE	NA
046-2D6	0	46	2	6	strep	0.1	FALSE	TRUE	FALSE	NA
046-2D7	0	46	2	7	strep	0.1	FALSE	TRUE	FALSE	NA
046-2D8	0	46	2	8	strep	0.1	FALSE	TRUE	FALSE	NA
046-2D9	0	46	2	9	strep	0.1	FALSE	TRUE	FALSE	NA
046-3D-6	0	46	3	-6	strep	0.1	FALSE	TRUE	TRUE	NA
046-3D0	NA	46	3	0	strep	0.1	FALSE	TRUE	FALSE	NA
046-3D1	4100	46	3	1	strep	0.1	FALSE	TRUE	FALSE	NA
046-3D10	0	46	3	10	strep	0.1	FALSE	TRUE	FALSE	NA
046-3D2	920000	46	3	2	strep	0.1	FALSE	TRUE	FALSE	NA
046-3D3	150000	46	3	3	strep	0.1	FALSE	TRUE	FALSE	NA
046-3D4	0	46	3	4	strep	0.1	FALSE	TRUE	FALSE	NA
046-3D5	0	46	3	5	strep	0.1	FALSE	TRUE	FALSE	NA
046-3D6	0	46	3	6	strep	0.1	FALSE	TRUE	FALSE	NA
046-3D7	0	46	3	7	strep	0.1	FALSE	TRUE	FALSE	NA
046-3D8	0	46	3	8	strep	0.1	FALSE	TRUE	FALSE	NA
046-3D9	0	46	3	9	strep	0.1	FALSE	TRUE	FALSE	NA
047-1D-6	0	47	1	-6	strep	5	FALSE	TRUE	TRUE	NA
047-1D0	NA	47	1	0	strep	5	FALSE	TRUE	FALSE	NA
047-1D1	7.2e+07	47	1	1	strep	5	FALSE	TRUE	FALSE	NA
047-1D10	35300000	47	1	10	strep	5	FALSE	TRUE	FALSE	NA
047-1D3	5e+07	47	1	3	strep	5	FALSE	TRUE	FALSE	NA
047-1D4	5.6e+07	47	1	4	strep	5	FALSE	TRUE	FALSE	NA
047-1D5	24500000	47	1	5	strep	5	FALSE	TRUE	FALSE	NA
047-1D6	1.9e+07	47	1	6	strep	5	FALSE	TRUE	FALSE	NA
047-1D7	30600000	47	1	7	strep	5	FALSE	TRUE	FALSE	NA
047-1D8	3e+07	47	1	8	strep	5	FALSE	TRUE	FALSE	NA
047-1D9	2e+07	47	1	9	strep	5	FALSE	TRUE	FALSE	NA
047-2D-6	0	47	2	-6	strep	5	FALSE	TRUE	TRUE	NA
047-2D0	NA	47	2	0	strep	5	FALSE	TRUE	FALSE	NA
047-2D1	7.3e+07	47	2	1	strep	5	FALSE	TRUE	FALSE	NA
047-2D10	15600000	47	2	10	strep	5	FALSE	TRUE	FALSE	NA
047-2D2	1.5e+07	47	2	2	strep	5	FALSE	TRUE	FALSE	NA
047-2D3	1.6e+07	47	2	3	strep	5	FALSE	TRUE	FALSE	NA
047-2D4	3.4e+07	47	2	4	strep	5	FALSE	TRUE	FALSE	NA
047-2D5	1e+07	47	2	5	strep	5	FALSE	TRUE	FALSE	NA
047-2D6	2.6e+07	47	2	6	strep	5	FALSE	TRUE	FALSE	NA
047-2D7	2e+07	47	2	7	strep	5	FALSE	TRUE	FALSE	NA
047-2D8	34400000	47	2	8	strep	5	FALSE	TRUE	FALSE	NA
047-2D9	3.3e+07	47	2	9	strep	5	FALSE	TRUE	FALSE	NA
047-3D-6	0	47	3	-6	strep	5	FALSE	TRUE	TRUE	NA
047-3D0	NA	47	3	0	strep	5	FALSE	TRUE	FALSE	NA
047-3D1	2.7e+07	47	3	1	strep	5	FALSE	TRUE	FALSE	NA
047-3D10	41600000	47	3	10	strep	5	FALSE	TRUE	FALSE	NA
047-3D2	4.7e+07	47	3	2	strep	5	FALSE	TRUE	FALSE	NA
047-3D3	5.2e+07	47	3	3	strep	5	FALSE	TRUE	FALSE	NA
047-3D4	5.5e+07	47	3	4	strep	5	FALSE	TRUE	FALSE	NA
047-3D5	7500000	47	3	5	strep	5	FALSE	TRUE	FALSE	NA
047-3D6	17400000	47	3	6	strep	5	FALSE	TRUE	FALSE	NA
047-3D7	12100000	47	3	7	strep	5	FALSE	TRUE	FALSE	NA
047-3D8	48400000	47	3	8	strep	5	FALSE	TRUE	FALSE	NA
047-3D9	4e+07	47	3	9	strep	5	FALSE	TRUE	FALSE	NA
048-1D-6	0	48	1	-6	strep	0.5	FALSE	TRUE	TRUE	NA
048-1D0	NA	48	1	0	strep	0.5	FALSE	TRUE	FALSE	NA
048-1D1	1250000	48	1	1	strep	0.5	FALSE	TRUE	FALSE	NA
048-1D10	2500	48	1	10	strep	0.5	FALSE	TRUE	FALSE	NA
048-1D2	9200000	48	1	2	strep	0.5	FALSE	TRUE	FALSE	NA
048-1D3	4700000	48	1	3	strep	0.5	FALSE	TRUE	FALSE	NA
048-1D4	7800000	48	1	4	strep	0.5	FALSE	TRUE	FALSE	NA
048-1D5	NA	48	1	5	strep	0.5	FALSE	TRUE	FALSE	NA
048-1D6	214000	48	1	6	strep	0.5	FALSE	TRUE	FALSE	NA
048-1D7	90000	48	1	7	strep	0.5	FALSE	TRUE	FALSE	NA
048-1D8	1e+05	48	1	8	strep	0.5	FALSE	TRUE	FALSE	NA
048-1D9	17000	48	1	9	strep	0.5	FALSE	TRUE	FALSE	NA
048-2D-6	0	48	2	-6	strep	0.5	FALSE	TRUE	TRUE	NA
048-2D0	NA	48	2	0	strep	0.5	FALSE	TRUE	FALSE	NA
048-2D1	3400000	48	2	1	strep	0.5	FALSE	TRUE	FALSE	NA
048-2D10	0	48	2	10	strep	0.5	FALSE	TRUE	FALSE	NA
048-2D2	8e+06	48	2	2	strep	0.5	FALSE	TRUE	FALSE	NA
048-2D3	160000	48	2	3	strep	0.5	FALSE	TRUE	FALSE	NA
048-2D4	960000	48	2	4	strep	0.5	FALSE	TRUE	FALSE	NA
048-2D6	416000	48	2	6	strep	0.5	FALSE	TRUE	FALSE	NA
048-2D7	32000	48	2	7	strep	0.5	FALSE	TRUE	FALSE	NA
048-2D8	71000	48	2	8	strep	0.5	FALSE	TRUE	FALSE	NA
048-2D9	1000	48	2	9	strep	0.5	FALSE	TRUE	FALSE	NA
048-3D-6	0	48	3	-6	strep	0.5	FALSE	TRUE	TRUE	NA
048-3D0	NA	48	3	0	strep	0.5	FALSE	TRUE	FALSE	NA
048-3D1	4040000	48	3	1	strep	0.5	FALSE	TRUE	FALSE	NA
048-3D10	2700	48	3	10	strep	0.5	FALSE	TRUE	FALSE	NA
048-3D2	4500000	48	3	2	strep	0.5	FALSE	TRUE	FALSE	NA
048-3D3	4e+06	48	3	3	strep	0.5	FALSE	TRUE	FALSE	NA
048-3D4	4500000	48	3	4	strep	0.5	FALSE	TRUE	FALSE	NA
048-3D5	NA	48	3	5	strep	0.5	FALSE	TRUE	FALSE	NA
048-3D6	294000	48	3	6	strep	0.5	FALSE	TRUE	FALSE	NA
048-3D7	870000	48	3	7	strep	0.5	FALSE	TRUE	FALSE	NA
048-3D8	517000	48	3	8	strep	0.5	FALSE	TRUE	FALSE	NA
048-3D9	22000	48	3	9	strep	0.5	FALSE	TRUE	FALSE	NA
048-4D-6	0	48	4	-6	strep	0.5	FALSE	TRUE	TRUE	NA
048-4D0	NA	48	4	0	strep	0.5	FALSE	TRUE	FALSE	NA
048-4D1	5700000	48	4	1	strep	0.5	FALSE	TRUE	FALSE	NA
048-4D10	0	48	4	10	strep	0.5	FALSE	TRUE	FALSE	NA
048-4D2	8600000	48	4	2	strep	0.5	FALSE	TRUE	FALSE	NA
048-4D3	4700000	48	4	3	strep	0.5	FALSE	TRUE	FALSE	NA
048-4D4	1700000	48	4	4	strep	0.5	FALSE	TRUE	FALSE	NA
048-4D5	NA	48	4	5	strep	0.5	FALSE	TRUE	FALSE	NA
048-4D6	32000	48	4	6	strep	0.5	FALSE	TRUE	FALSE	NA
048-4D7	6000	48	4	7	strep	0.5	FALSE	TRUE	FALSE	NA
048-4D8	38000	48	4	8	strep	0.5	FALSE	TRUE	FALSE	NA
048-4D9	1000	48	4	9	strep	0.5	FALSE	TRUE	FALSE	NA
050-1D0	NA	50	1	0	amp	0.5	FALSE	TRUE	FALSE	NA
050-1D1	7.5e+07	50	1	1	amp	0.5	FALSE	TRUE	FALSE	NA
050-1D10	2.4e+07	50	1	10	amp	0.5	FALSE	TRUE	FALSE	NA
050-1D2	1.02e+08	50	1	2	amp	0.5	FALSE	TRUE	FALSE	NA
050-1D3	1.95e+08	50	1	3	amp	0.5	FALSE	TRUE	FALSE	NA
050-1D4	1.08e+08	50	1	4	amp	0.5	FALSE	TRUE	FALSE	NA
050-1D5	14700000	50	1	5	amp	0.5	FALSE	TRUE	FALSE	NA
050-1D6	18700000	50	1	6	amp	0.5	FALSE	TRUE	FALSE	NA
050-1D7	8500000	50	1	7	amp	0.5	FALSE	TRUE	FALSE	NA
050-1D8	23900000	50	1	8	amp	0.5	FALSE	TRUE	FALSE	NA
050-1D9	NA	50	1	9	amp	0.5	FALSE	TRUE	FALSE	NA
050-1D-6	0	50	1	-6	amp	0.5	FALSE	TRUE	TRUE	NA
050-2D0	NA	50	2	0	amp	0.5	FALSE	TRUE	FALSE	NA
050-2D1	8e+07	50	2	1	amp	0.5	FALSE	TRUE	FALSE	NA
050-2D10	15600000	50	2	10	amp	0.5	FALSE	TRUE	FALSE	NA
050-2D2	8.5e+07	50	2	2	amp	0.5	FALSE	TRUE	FALSE	NA
050-2D3	2.03e+08	50	2	3	amp	0.5	FALSE	TRUE	FALSE	NA
050-2D4	7.4e+07	50	2	4	amp	0.5	FALSE	TRUE	FALSE	NA
050-2D5	4.3e+07	50	2	5	amp	0.5	FALSE	TRUE	FALSE	NA
050-2D6	26800000	50	2	6	amp	0.5	FALSE	TRUE	FALSE	NA
050-2D7	13500000	50	2	7	amp	0.5	FALSE	TRUE	FALSE	NA
050-2D8	35600000	50	2	8	amp	0.5	FALSE	TRUE	FALSE	NA
050-2D9	NA	50	2	9	amp	0.5	FALSE	TRUE	FALSE	NA
050-2D-6	0	50	2	-6	amp	0.5	FALSE	TRUE	TRUE	NA
050-3D0	NA	50	3	0	amp	0.5	FALSE	TRUE	FALSE	NA
050-3D1	3.5e+07	50	3	1	amp	0.5	FALSE	TRUE	FALSE	NA
050-3D10	20300000	50	3	10	amp	0.5	FALSE	TRUE	FALSE	NA
050-3D2	1.03e+08	50	3	2	amp	0.5	FALSE	TRUE	FALSE	NA
050-3D3	2.4e+08	50	3	3	amp	0.5	FALSE	TRUE	FALSE	NA
050-3D5	2e+07	50	3	5	amp	0.5	FALSE	TRUE	FALSE	NA
050-3D6	21200000	50	3	6	amp	0.5	FALSE	TRUE	FALSE	NA
