Group,nextDayCFU,Otu00003,Otu00006,Otu00007,Otu00011,Otu00013,Otu00015,Otu00020,Otu00023,Otu00027,Otu00029,Otu00039,Otu00044,Otu00057,Otu00065,Otu00078
052-3-D-1,0,94,149,253,0,79,18,34,9,5,0,3,0,0,0,0
097-2-D-1,0,51,250,157,2,190,27,53,7,0,4,4,0,0,1,0
097-3-D-1,0,72,309,256,0,49,31,103,15,0,4,5,0,0,0,1
098-1-D-1,0,30,227,99,0,143,18,84,19,1,7,27,0,0,0,0
098-2-D-1,0,44,233,102,0,136,13,54,44,0,3,8,0,0,1,0
098-3-D-1,0,71,193,104,0,170,8,83,54,0,3,41,0,0,1,0
021-1D0,4.845104244,46,308,230,53,196,0,43,9,0,1,0,0,0,11,6
021-4D0,3.431524584,41,151,338,8,202,14,21,1,2,7,0,2,0,5,4
024-1D0,7.53147893,2,42,23,365,19,0,5,0,0,0,0,43,0,28,24
024-3D0,7.892094608,13,24,56,388,16,0,7,0,0,0,0,22,0,35,39
050-1-D0,7.875061269,0,4,23,586,20,0,23,0,0,0,0,18,0,104,23
050-2-D0,7.903089992,0,1,0,469,79,0,0,0,0,0,0,94,0,85,61
050-3-D0,7.544068057,0,13,1,597,3,35,0,0,0,0,0,29,0,113,61
050-4-D0,5.079184865,0,30,24,787,0,0,0,0,1,0,0,55,0,127,49
600-3D0,8.36E+00,0,2,0,310,48,0,0,0,0,0,0,57,1,91,2
600-4D0,8.07E+00,2,0,0,209,23,0,0,0,0,0,0,7,0,83,0
039-3D0,7.562292876,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0
040-1D0,8.064457993,0,0,0,1441,0,0,0,1,0,0,0,1,0,0,0
040-2D0,8.082785374,0,4,2,1115,0,0,0,5,0,0,0,0,0,0,1
040-3D0,8.127104802,0,3,2,1257,0,0,0,0,0,0,0,5,0,0,0
040-4D0,7.968482953,0,0,2,1119,1,0,0,8,0,0,0,5,0,0,1
103-1-D0,7.262451113,1,0,1,637,0,0,2,0,0,0,0,1,0,0,0
103-2-D0,7.583198785,1,1,5,1112,1,0,0,2,0,0,1,5,0,0,0
103-3-D0,7.64147412,2,2,8,913,0,1,1,1,0,0,0,3,0,1,0
047-1D0,7.857332502,2,122,134,0,24,0,0,0,0,0,0,0,0,0,0
047-2D0,7.863322866,7,111,93,0,15,0,0,0,0,0,0,0,0,0,0
047-3D0,7.43136378,5,158,13,0,4,0,0,0,0,0,0,0,0,0,0
627-1D0,7.53E+00,0,60,2,0,0,0,0,0,0,0,0,0,0,0,0
627-2D0,7.54E+00,0,47,8,0,0,0,0,0,0,0,0,0,0,0,0
627-3D0,8.00E+00,0,8,20,0,1,0,0,0,0,0,0,0,0,0,0
627-4D0,7.76E+00,0,19,28,3,0,0,1,0,0,0,0,0,0,0,0
627-5D0,7.85E+00,0,41,75,2,0,0,0,0,0,0,0,0,0,0,0
004-1D0,7.778151258,0,0,0,1158,0,0,0,5,0,0,0,0,0,1,0
004-2D0,6.86332292,1,0,4,1343,0,0,0,0,0,0,0,0,0,1,0
004-359D0,7.36735594,0,1,1,1278,2,0,0,4,0,0,0,0,0,0,0
004-4D0,5.041396633,1,2,1,1411,1,0,1,1,1,0,0,0,0,2,0
015-1D0,0,16,172,424,1,96,3,3,0,139,0,2,0,0,0,0
015-2D0,0,55,236,248,1,121,6,0,0,61,0,1,0,0,0,0
015-3D0,0,68,217,189,2,194,2,16,4,6,0,7,0,0,0,0
052-1-D0,7.755874863,0,0,0,1581,0,0,0,0,0,0,0,0,0,0,0
052-2-D0,7.579783608,0,0,0,1590,0,0,0,0,0,1,0,0,0,1,0
052-3-D0,7.322219315,0,0,0,1583,0,0,0,0,0,0,0,1,0,0,0
052-4-D0,7.934498456,0,1,0,1568,0,0,0,0,0,0,0,2,0,2,0
097-2-D0,0,21,224,309,0,109,1,1,81,1,0,18,0,0,0,0
097-3-D0,0,65,224,315,1,169,3,0,17,1,2,12,1,0,2,0
098-1-D0,7.48713839,5,4,8,1353,2,1,0,0,0,0,0,4,0,2,0
098-2-D0,7.532754392,1,6,5,1407,3,0,2,2,0,0,0,4,0,1,0
098-3-D0,0,0,1,0,1426,1,0,0,1,0,3,0,3,0,0,0
007-2D1,7.995635199,0,0,1,273,0,0,0,1,0,0,0,0,57,1,0
007-357D1,7.397940026,0,0,0,216,0,0,0,4,0,0,0,1,33,1,0
007-358D1,7.869231726,1,0,4,194,1,0,0,1,0,0,0,31,31,2,0
0071D1,7.919078098,0,0,0,258,0,0,0,1,0,0,0,0,56,1,0
039-1D1,8.060697844,0,6,12,87,0,3,0,0,0,0,0,0,2,0,0
039-3D1,8.204119985,0,0,0,47,0,1,0,2,0,0,0,0,0,0,1
