otu	corSpear	pvalSpear	corKen	pvalKen
Otu00384	-0.201504119	0.085968978	-0.180746494	0.084704348
Otu00061	0.199961711	0.08863208	0.178616894	0.08664573
Otu00030	0.199686313	0.088645133	0.177538438	0.084512666
Otu00062	0.198544139	0.090509413	0.172630401	0.090488266
Otu00040	0.196603195	0.094163997	0.166045298	0.099836949
Otu00116	-0.193814662	0.099890751	-0.170195011	0.099836949
Otu00239	0.191604743	0.104486688	0.173804218	0.100716307
Otu00101	-0.188367538	0.107267259	-0.169117322	0.10787669
Otu00204	-0.188347309	0.107267259	-0.168761659	0.10787669
Otu00312	-0.18833113	0.107267259	-0.168232348	0.10787669
Otu00313	-0.188347309	0.107267259	-0.168761659	0.10787669
Otu00344	-0.188367538	0.107267259	-0.169117322	0.10787669
Otu00507	-0.188367538	0.107267259	-0.169117322	0.10787669
Otu00539	-0.188335174	0.107267259	-0.168408231	0.10787669
Otu01150	-0.188347309	0.107267259	-0.168761659	0.10787669
Otu00349	-0.18211031	0.122631131	-0.163607779	0.120469864
Otu00395	-0.181678648	0.12308123	-0.163047549	0.121381021
Otu00326	0.178604561	0.130918451	0.161759416	0.121381021
Otu00089	0.174973847	0.140812762	0.152446873	0.138394143
Otu00097	0.174527752	0.141346838	0.151759548	0.146675568
Otu00152	0.172357963	0.147200848	0.155198822	0.145864825
Otu00031	-0.168723988	0.150619506	-0.146277998	0.150327393
Otu00063	-0.167601245	0.150619506	-0.150510869	0.150327393
Otu00077	-0.167601245	0.150619506	-0.150510869	0.150327393
Otu00087	0.169521754	0.150619506	0.147944757	0.150327393
Otu00107	-0.167627974	0.150619506	-0.151103823	0.150327393
Otu00176	-0.167592339	0.150619506	-0.150314764	0.150327393
Otu00190	-0.170013828	0.150619506	-0.151536855	0.150327393
Otu00192	-0.167587886	0.150619506	-0.150119423	0.150327393
Otu00193	-0.167627974	0.150619506	-0.151103823	0.150327393
Otu00265	0.168971876	0.150619506	0.152315248	0.150327393
Otu00278	-0.167601245	0.150619506	-0.150510869	0.150327393
Otu00298	0.170465572	0.150619506	0.152377444	0.150327393
Otu00377	-0.167601245	0.150619506	-0.150510869	0.150327393
Otu00490	-0.167601245	0.150619506	-0.150510869	0.150327393
Otu00311	0.164822619	0.158643602	0.145462792	0.163774086
Otu00417	0.164121662	0.159257698	0.146545151	0.16134079
Otu00447	0.164121662	0.159257698	0.146545151	0.16134079
Otu00091	-0.159818646	0.172889533	-0.143215305	0.170792311
Otu00138	-0.155484757	0.17921018	-0.139603828	0.178096828
Otu00186	0.155515731	0.17921018	0.139781721	0.177895277
Otu00244	0.156790188	0.17921018	0.141879323	0.176884999
Otu00260	0.155464326	0.17921018	0.140623753	0.176884999
Otu00385	0.155464326	0.17921018	0.140623753	0.176884999
Otu00421	0.155464326	0.17921018	0.140623753	0.176884999
Otu00435	0.155464326	0.17921018	0.140623753	0.176884999
Otu00636	0.155464326	0.17921018	0.140623753	0.176884999
Otu00639	0.155464326	0.17921018	0.140623753	0.176884999
Otu00842	0.155464326	0.17921018	0.140623753	0.176884999
Otu00601	0.151869474	0.191309518	0.1366983	0.188296904
Otu00224	-0.1512128	0.192807052	-0.13374424	0.192555588
Otu00291	-0.147024669	0.20788087	-0.130574869	0.205763562
Otu00074	0.146380652	0.209408697	0.126864711	0.20537519
Otu00085	-0.144396818	0.210226967	-0.129726743	0.207888103
Otu00117	-0.144396818	0.210226967	-0.129726743	0.207888103
Otu00268	-0.144396818	0.210226967	-0.129726743	0.207888103
Otu00283	0.145581396	0.210226967	0.132248063	0.203250497
Otu00357	-0.144396818	0.210226967	-0.129726743	0.207888103
Otu00433	0.145819351	0.210226967	0.131184236	0.20537519
Otu03675	0.145394405	0.210226967	0.131061958	0.207888103
Otu00010	-0.140456348	0.225111442	-0.111425675	0.198923221
Otu00158	-0.137961715	0.23451114	-0.124361955	0.23282306
Otu00093	0.136852969	0.238159834	0.123362505	0.236422906
Otu00157	-0.136054101	0.240501004	-0.120981311	0.240850672
Otu01107	0.129144563	0.270530016	0.116767938	0.265093758
Otu00096	-0.125648697	0.286031367	-0.112317859	0.28378478
Otu00563	0.123479636	0.295430619	0.110552686	0.291704722
Otu00102	0.121206576	0.305554668	0.108403662	0.305612007
Otu00049	-0.120210504	0.309274552	-0.101184216	0.312064092
Otu00066	-0.118033912	0.314604327	-0.106398561	0.312064092
Otu00124	-0.117296438	0.314604327	-0.105467815	0.312064092
Otu00145	-0.117302545	0.314604327	-0.10573929	0.312064092
Otu00146	-0.117302545	0.314604327	-0.10573929	0.312064092
Otu00188	-0.117302545	0.314604327	-0.10573929	0.312064092
Otu00512	-0.117296438	0.314604327	-0.105467815	0.312064092
Otu00515	-0.117302545	0.314604327	-0.10573929	0.312064092
Otu00025	0.11268274	0.337549653	0.094299717	0.341807924
Otu00545	0.110416938	0.348431002	0.09853609	0.341807924
Otu00069	0.108833491	0.35115435	0.09667883	0.355575255
Otu00119	0.10900275	0.35115435	0.099189969	0.341807924
Otu00194	0.10900275	0.35115435	0.099189969	0.341807924
Otu00261	0.10900275	0.35115435	0.099189969	0.341807924
Otu00355	-0.106160262	0.364541406	-0.095007923	0.359980426
Otu00219	-0.105740383	0.365366975	-0.094728527	0.361976363
Otu00017	-0.100217087	0.395731773	-0.082147447	0.385212485
Otu00014	0.0985269	0.404143376	0.073987273	0.394599502
Otu00148	-0.095977746	0.416151204	-0.086169302	0.413020599
Otu00322	0.096249074	0.416151204	0.086519493	0.409422045
Otu00277	0.090483377	0.448637607	0.08246781	0.434705718
Otu00140	-0.089684034	0.449512327	-0.081186279	0.439925568
Otu00155	0.089476938	0.449512327	0.080421119	0.444388652
Otu00361	0.090018663	0.449512327	0.081209289	0.439925568
Otu00684	0.088930458	0.451151854	0.079424469	0.448907509
Otu00052	0.086042941	0.467836044	0.076109873	0.466925815
Otu00043	0.083989582	0.470080514	0.071581967	0.466925815
Otu00166	-0.082521149	0.470080514	-0.074386516	0.466925815
Otu00171	-0.082521149	0.470080514	-0.074386516	0.466925815
Otu00220	0.082521149	0.470080514	0.074386516	0.466925815
Otu00245	-0.082521149	0.470080514	-0.074386516	0.466925815
Otu00252	-0.082521149	0.470080514	-0.074386516	0.466925815
Otu00284	-0.082521149	0.470080514	-0.074386516	0.466925815
Otu00309	-0.082521149	0.470080514	-0.074386516	0.466925815
Otu00393	-0.082521149	0.470080514	-0.074386516	0.466925815
Otu00464	0.082521149	0.470080514	0.074386516	0.466925815
Otu00510	-0.082521149	0.470080514	-0.074386516	0.466925815
Otu00142	-0.078951931	0.491304147	-0.071169139	0.488137278
Otu00237	0.076626781	0.504702991	0.069073194	0.501540694
Otu00199	0.075034486	0.513349997	0.067952103	0.506192413
Otu00228	0.074128972	0.517438828	0.06680744	0.511910079
Otu00333	0.070732413	0.534351602	0.063759871	0.531259419
Otu00375	0.070732413	0.534351602	0.063759871	0.531259419
Otu01330	-0.071083602	0.534351602	-0.063723542	0.529476768
Otu00218	0.068888384	0.544879992	0.061522892	0.545009711
Otu00203	-0.06721751	0.554288315	-0.059646964	0.55521941
Otu00314	-0.057704151	0.619449752	-0.052873024	0.605808756
Otu00397	-0.05699571	0.622283729	-0.051066188	0.620390544
Otu00264	-0.049695009	0.673836297	-0.044271825	0.674339408
Otu00323	0.043499545	0.718372876	0.038922646	0.716785081
Otu00335	-0.042937488	0.72004443	-0.03761276	0.721109415
Otu00134	-0.042452885	0.721119558	-0.038574094	0.716785081
Otu00130	0.041260574	0.727619677	0.037193258	0.725308831
Otu00067	0.038275087	0.747941565	0.035319176	0.727603368
Otu00123	-0.036601469	0.758170853	-0.032889817	0.7555391
Otu00438	-0.022785815	0.864450483	-0.021183733	0.855133403
Otu00149	-0.018392635	0.896663752	-0.016256478	0.89783062
Otu00315	-0.016390791	0.909581536	-0.014389295	0.911394768
Otu00227	-0.012665201	0.936377097	-0.011250777	0.936477805
Otu00083	-0.008378753	0.960814188	-0.007552806	0.960294791
Otu00165	-0.008378753	0.960814188	-0.007552806	0.960294791
Otu00187	-0.008774474	0.960814188	-0.008236619	0.960294791
Otu00212	-0.007278134	0.962854281	-0.006277846	0.961415854
Otu00386	-0.007278134	0.962854281	-0.006277846	0.961415854
Otu00222	-0.006106359	0.968812718	-0.006263115	0.961415854
Otu00147	-0.004473728	0.978394641	-0.004462049	0.974010544
Otu00055	-0.003046661	0.986291662	-0.002511138	0.988130848
Otu00122	0.001794362	0.990713617	0.00161748	0.988970912
Otu00185	-0.001184813	0.990713617	-0.001255569	0.988970912
Otu00229	0.001184813	0.990713617	0.001255569	0.988970912
Otu00027	-0.624512032	1.03E-10	-0.524677671	1.04E-08
Otu00039	-0.769191882	1.04E-18	-0.616639931	1.60E-12
Otu00009	-0.502303399	1.14E-06	-0.414916636	7.46E-06
Otu00050	-0.50154276	1.16E-06	-0.419051293	6.22E-06
Otu00035	-0.456900842	1.33E-05	-0.389047066	3.97E-05
Otu00054	-0.456782031	1.33E-05	-0.394105472	4.07E-05
Otu00004	-0.620489097	1.43E-10	-0.44843552	5.00E-08
Otu00033	-0.532152428	1.55E-07	-0.44896845	8.76E-07
Otu00181	-0.496305749	1.59E-06	-0.413840812	7.71E-06
Otu00127	-0.452799992	1.64E-05	-0.385583297	5.36E-05
Otu00081	-0.618341821	1.66E-10	-0.484349606	3.26E-08
Otu00011	0.561940139	1.98E-08	0.418037142	6.83E-07
Otu00020	-0.781421639	2.03E-19	-0.624370202	2.10E-13
Otu00018	-0.560682965	2.10E-08	-0.42625354	4.82E-07
Otu00029	-0.700578033	2.24E-14	-0.572502625	1.22E-10
Otu00024	-0.490167871	2.30E-06	-0.410008106	9.27E-06
Otu00038	-0.558187693	2.45E-08	-0.452690163	3.79E-07
Otu00153	-0.444993679	2.49E-05	-0.386028819	6.71E-05
invsimpson	-0.661950519	2.52E-12	-0.489623142	1.73E-09
Otu00125	-0.487960229	2.57E-06	-0.416795347	9.05E-06
Otu00005	-0.556589913	2.67E-08	-0.41797335	3.49E-07
Otu01113	-0.486372004	2.77E-06	-0.417017696	9.05E-06
Otu00006	-0.761316441	2.86E-18	-0.57587276	1.60E-12
Otu00015	-0.762147998	2.86E-18	-0.587783071	4.98E-12
Otu00034	-0.484582092	3.01E-06	-0.397039057	9.27E-06
Otu00086	-0.584611459	3.41E-09	-0.490403337	7.51E-08
shannon	-0.609810675	3.58E-10	-0.449849129	3.31E-08
Otu00060	-0.437981747	3.59E-05	-0.366281773	7.88E-05
Otu00064	-0.583090348	3.69E-09	-0.478639123	1.44E-07
Otu00012	-0.551725321	3.77E-08	-0.43192181	3.16E-07
Otu00110	-0.476910398	4.61E-06	-0.39948781	1.76E-05
Otu00286	-0.477052477	4.61E-06	-0.402102192	1.86E-05
Otu00023	-0.729416874	4.62E-16	-0.560788534	2.23E-11
Otu00095	-0.432224947	4.80E-05	-0.371470802	0.000114434
Otu00003	-0.802524508	5.09E-21	-0.629109214	1.07E-13
Otu00042	-0.546220653	5.57E-08	-0.452454974	4.12E-07
Otu00019	-0.513193468	5.81E-07	-0.395703996	2.80E-06
Otu00053	-0.427390728	6.08E-05	-0.365223151	0.000137226
Otu00026	-0.576027982	6.44E-09	-0.477803884	1.34E-07
Otu00002	-0.631261083	6.56E-11	-0.481766503	1.74E-08
Otu00431	-0.468791202	7.38E-06	-0.402885855	2.59E-05
Otu00007	-0.772470618	7.51E-19	-0.582840252	1.27E-12
Otu00013	-0.725238142	7.59E-16	-0.535959193	8.69E-11
Otu00092	-0.467533229	7.76E-06	-0.396877145	2.72E-05
Otu00076	-0.466757548	7.93E-06	-0.391149344	2.59E-05
Otu00016	-0.628440275	8.03E-11	-0.477798151	1.80E-08
Otu00001	-0.627306062	8.32E-11	-0.471848656	1.47E-08
Otu02109	-0.464743163	8.73E-06	-0.394383178	2.72E-05
shannoneven	-0.506534734	8.86E-07	-0.377349661	4.57E-06
Otu00173	NA	NA	NA	NA
Otu00236	NA	NA	NA	NA
Otu00248	NA	NA	NA	NA
Otu00251	NA	NA	NA	NA
Otu00255	NA	NA	NA	NA
Otu00310	NA	NA	NA	NA
Otu00402	NA	NA	NA	NA
Otu00414	NA	NA	NA	NA
Otu00439	NA	NA	NA	NA
Otu00444	NA	NA	NA	NA
Otu00521	NA	NA	NA	NA
Otu00710	NA	NA	NA	NA
