otu,phyl,last,name,order,n,avgs,cor,pval
Otu00033,Firmicutes,Ruminococcaceae,Ruminococcaceae,02Ruminococcaceae,9,-0.46574342,-0.532152428,5.12E-08
Otu00431,Firmicutes,Ruminococcaceae,Ruminococcaceae,02Ruminococcaceae,9,-0.46574342,-0.468791202,2.44E-06
Otu00092,Firmicutes,Ruminococcaceae,Ruminococcaceae,02Ruminococcaceae,9,-0.46574342,-0.467533229,2.56E-06
Otu00035,Firmicutes,Ruminococcaceae,Ruminococcaceae,02Ruminococcaceae,9,-0.46574342,-0.456900842,4.44E-06
Otu00060,Firmicutes,Oscillibacter,Ruminococcaceae,02Ruminococcaceae,9,-0.347208898,-0.437981747,1.26E-05
Otu00037,Firmicutes,Ruminococcaceae,Ruminococcaceae,02Ruminococcaceae,9,-0.46574342,-0.390441548,1.22E-04
Otu00056,Firmicutes,Oscillibacter,Ruminococcaceae,02Ruminococcaceae,9,-0.347208898,-0.295090629,4.34E-03
Otu00181,Firmicutes,Clostridiales,Clostridia,03Clostridia,8,-0.347208898,-0.496305749,5.37E-07
Otu01113,Firmicutes,Clostridia,Clostridia,03Clostridia,8,-0.347208898,-0.486372004,9.25E-07
Otu00034,Firmicutes,Clostridiales,Clostridia,03Clostridia,8,-0.347208898,-0.484582092,1.01E-06
Otu00286,Firmicutes,Clostridia,Clostridia,03Clostridia,8,-0.347208898,-0.477052477,1.53E-06
Otu00110,Firmicutes,Clostridiales,Clostridia,03Clostridia,8,-0.347208898,-0.476910398,1.53E-06
Otu00233,Firmicutes,Clostridiales,Clostridia,03Clostridia,8,-0.347208898,-0.33027292,1.31E-03
Otu00412,Firmicutes,Clostridiales,Clostridia,03Clostridia,8,-0.347208898,-0.288172227,5.40E-03
Otu00154,Firmicutes,Clostridiales,Clostridia,03Clostridia,8,-0.347208898,0.261996684,1.14E-02
Otu00023,Firmicutes,Lactobacillus,Lactobacillales,04Lactobacillales,4,-0.126553082,-0.729416874,1.41E-16
Otu00021,Firmicutes,Lactobacillus,Lactobacillales,04Lactobacillales,4,-0.126553082,-0.404422685,6.68E-05
Otu00079,Firmicutes,Streptococcus,Lactobacillales,04Lactobacillales,4,-0.126553082,0.265254743,1.04E-02
Otu00078,Firmicutes,Streptococcus,Lactobacillales,04Lactobacillales,4,-0.126553082,0.36237249,3.98E-04
Otu02109,Firmicutes,Firmicutes,Firmicutes,05Firmicutes,2,-0.077634856,-0.464743163,2.87E-06
Otu00057,Firmicutes,Firmicutes,Firmicutes,05Firmicutes,2,-0.077634856,0.309473451,2.67E-03
Otu00046,Firmicutes,Bacillales,Bacillales,06Bacillales,1,0.267653468,0.267653468,9.83E-03
Otu00003,Bacteroidetes,Porphyromonadaceae,Porphyromonadaceae,07Porphyromonadaceae,15,-0.573202924,-0.802524508,1.56E-21
Otu00007,Bacteroidetes,Porphyromonadaceae,Porphyromonadaceae,07Porphyromonadaceae,15,-0.573202924,-0.772470618,2.30E-19
Otu00015,Bacteroidetes,Porphyromonadaceae,Porphyromonadaceae,07Porphyromonadaceae,15,-0.573202924,-0.762147998,8.74E-19
Otu00006,Bacteroidetes,Porphyromonadaceae,Porphyromonadaceae,07Porphyromonadaceae,15,-0.573202924,-0.761316441,8.74E-19
Otu00013,Bacteroidetes,Porphyromonadaceae,Porphyromonadaceae,07Porphyromonadaceae,15,-0.573202924,-0.725238142,2.32E-16
Otu00002,Bacteroidetes,Porphyromonadaceae,Porphyromonadaceae,07Porphyromonadaceae,15,-0.573202924,-0.631261083,2.21E-11
Otu00001,Bacteroidetes,Porphyromonadaceae,Porphyromonadaceae,07Porphyromonadaceae,15,-0.573202924,-0.627306062,2.76E-11
Otu00004,Bacteroidetes,Porphyromonadaceae,Porphyromonadaceae,07Porphyromonadaceae,15,-0.573202924,-0.620489097,4.69E-11
Otu00081,Bacteroidetes,Porphyromonadaceae,Porphyromonadaceae,07Porphyromonadaceae,15,-0.573202924,-0.618341821,5.42E-11
Otu00018,Bacteroidetes,Porphyromonadaceae,Porphyromonadaceae,07Porphyromonadaceae,15,-0.573202924,-0.560682965,7.05E-09
Otu00012,Bacteroidetes,Porphyromonadaceae,Porphyromonadaceae,07Porphyromonadaceae,15,-0.573202924,-0.551725321,1.25E-08
Otu00019,Bacteroidetes,Porphyromonadaceae,Porphyromonadaceae,07Porphyromonadaceae,15,-0.573202924,-0.513193468,1.91E-07
Otu00009,Bacteroidetes,Porphyromonadaceae,Porphyromonadaceae,07Porphyromonadaceae,15,-0.573202924,-0.502303399,3.87E-07
Otu00008,Bacteroidetes,Porphyromonadaceae,Porphyromonadaceae,07Porphyromonadaceae,15,-0.573202924,-0.359565052,4.40E-04
Otu00505,Bacteroidetes,Porphyromonadaceae,Porphyromonadaceae,07Porphyromonadaceae,15,-0.573202924,0.210522114,4.39E-02
Otu00020,Bacteroidetes,Alistipes,Bacteroidales,08Bacteroidales,4,-0.18933627,-0.781421639,6.21E-20
Otu00005,Bacteroidetes,Bacteroides,Bacteroidales,08Bacteroidales,4,-0.18933627,-0.556589913,8.91E-09
Otu00070,Bacteroidetes,Bacteroides,Bacteroidales,08Bacteroidales,4,-0.18933627,0.245421392,1.82E-02
Otu00044,Bacteroidetes,Bacteroides,Bacteroidales,08Bacteroidales,4,-0.18933627,0.335245079,1.12E-03
Otu00016,Bacteroidetes,Bacteroidetes,Bacteroidetes,09Bacteroidetes,1,-0.628440275,-0.628440275,2.68E-11
Otu00029,Actinobacteria,Enterorhabdus,Actinobacteria,10Actinobacteria,4,-0.329796411,-0.700578033,6.86E-15
Otu00050,Actinobacteria,Coriobacteriaceae,Actinobacteria,10Actinobacteria,4,-0.329796411,-0.50154276,3.93E-07
Otu00022,Actinobacteria,Bifidobacterium,Actinobacteria,10Actinobacteria,4,-0.329796411,-0.343246841,8.32E-04
Otu00058,Actinobacteria,Actinomyces,Actinobacteria,10Actinobacteria,4,-0.329796411,0.226181992,3.06E-02
Otu00120,Proteobacteria,Rhodobacter,Proteobacteria,11Proteobacteria,3,0.396460137,0.312925036,2.39E-03
Otu00065,Proteobacteria,Pseudomonas,Proteobacteria,11Proteobacteria,3,0.396460137,0.314515236,2.30E-03
Otu00011,Proteobacteria,Escherichia_Shigella,Proteobacteria,11Proteobacteria,3,0.396460137,0.561940139,6.71E-09
Otu00024,Tenericutes,Anaeroplasma,Anaeroplasma,12Anaeroplasma,1,-0.490167871,-0.490167871,7.74E-07
Otu00045,Deinococcus-Thermus,Deinococcus,Deinococcus,13Deinococcus,1,0.215833723,0.215833723,3.89E-02
Otu00064,unclassified,unclassified,Unclassified,14Unclassified,3,-0.41922404,-0.583090348,1.26E-09
Otu00179,unclassified,unclassified,Unclassified,14Unclassified,3,-0.41922404,-0.399220239,8.41E-05
Otu00387,unclassified,unclassified,Unclassified,14Unclassified,3,-0.41922404,-0.275361532,7.95E-03
