Group,expgroup,nextDayCFU,Otu001,Otu003,Otu014,Otu005,Otu011,Otu006,Otu002,Otu004,Otu016,Otu009,Otu007,Otu024,Otu019,Otu018,Otu021,Otu008,Otu015,Otu027,Otu013,Other
627-4D-6,1untr,0,0.409615,0.171462,0.164077,0.137,0.002846,0.004692,0.044692,0.010846,0.001,0.004692,0.001615,0.001,0.001,0.001,0.001615,0.012692,0.005308,0.004692,0.017,0.023156
627-5D-6,1untr,0,0.367769,0.335154,0.090231,0.057615,0.001,0.004692,0.065,0.014538,0.001,0.007154,0.027462,0.005923,0.001,0.001615,0.001,0.005923,0.001,0.002231,0.009,0.020693
002-1D-6,1untr,0,0.615154,0.156692,0.074846,0.122846,0.001615,0.001615,0.009,0.005308,0.001,0.009615,0.004077,0.001,0.002231,0.001615,0.001615,0.001,0.005308,0.001615,0.001615,0.002233
002-1D-5,1untr,0,0.427462,0.178231,0.090231,0.274846,0.001615,0.001,0.010231,0.005923,0.001,0.005308,0.002231,0.001,0.001615,0.001,0.001,0.003462,0.008385,0.001615,0.001615,2.23E-03
004-1D-1,1untr,0,0.676077,0.116692,0.045923,0.055769,0.001,0.003462,0.007769,0.006538,0.001,0.053923,0.001615,0.001,0.002846,0.002231,0.002846,0.007769,0.002231,0.004077,0.007769,0.019463
004-2D-1,1untr,0,0.724077,0.068692,0.023154,0.032385,0.001615,0.042846,0.011462,0.020077,0.002846,0.055154,0.001,0.001,0.001615,0.001,0.001,0.011462,0.005923,0.007154,0.004692,0.002846
004-359D-1,1untr,0,0.626846,0.149923,0.032385,0.077923,0.001,0.025,0.011462,0.007154,0.001,0.036077,0.004692,0.001,0.001,0.001,0.001,0.010231,0.007769,0.004077,0.005308,0.015153
004-4D-1,1untr,0,0.567154,0.285308,0.044077,0.028692,0.001,0.001,0.031154,0.012077,0.001,0.010846,0.001615,0.001,0.001,0.001,0.001,0.009615,0.001615,0.002231,0.002846,0.01577
015-1D-1,1untr,0,0.532692,0.137,0.034231,0.056385,0.001,0.084692,0.007769,0.083462,0.005923,0.025615,0.001,0.001615,0.001,0.001,0.001615,0.028077,0.004077,0.001,0.005308,0.006539
015-2D-1,1untr,0,0.652692,0.130846,0.044077,0.024385,0.001,0.014538,0.004692,0.057,0.005308,0.031769,0.001,0.001,0.001,0.001615,0.001,0.012692,0.002231,0.004692,0.008385,0.020078
015-3D-1,1untr,0,0.631154,0.141308,0.047769,0.013923,0.001,0.041,0.010231,0.037923,0.009,0.028077,0.001,0.001,0.001,0.001,0.001,0.015154,0.010231,0.004692,0.017615,0.005923
052-1-D-1,1untr,0,0.587462,0.204692,0.018231,0.085308,0.043462,0.005923,0.021923,0.007154,0.005308,0.006538,0.002231,0.001,0.001,0.001,0.001,0.003462,0.002231,0.004692,0.009,0.008383
052-2-D-1,1untr,0,0.641,0.111154,0.033615,0.023154,0.035462,0.004077,0.047154,0.022538,0.032385,0.012077,0.001,0.001,0.001,0.001,0.001,0.008385,0.001,0.005923,0.012692,0.024384
052-3-D-1,1untr,0,0.675462,0.141923,0.025615,0.017,0.026231,0.005308,0.018231,0.015154,0.026846,0.013923,0.001,0.001,0.001,0.001,0.001,0.003462,0.001615,0.006538,0.008385,0.029307
097-2-D-1,1untr,0,0.639769,0.112385,0.033,0.046538,0.001,0.028692,0.020692,0.010231,0.088385,0.010846,0.003462,0.001,0.001,0.001,0.001,0.002231,0.005923,0.002231,0.003462,0.007153
097-3-D-1,1untr,0,0.689615,0.079769,0.071154,0.042231,0.001,0.053308,0.025615,0.003462,0.008385,0.012077,0.002231,0.001,0.001,0.001,0.001615,0.006538,0.007769,0.001,0.004077,0.007154
098-1-D-1,1untr,0,0.518538,0.072385,0.051462,0.036692,0.021923,0.068692,0.073615,0.049,0.047154,0.030538,0.001,0.001,0.001,0.001,0.001,0.005923,0.007154,0.007769,0.007769,0.016386
098-2-D-1,1untr,0,0.462538,0.119154,0.037308,0.072385,0.043462,0.046538,0.016385,0.032385,0.075462,0.021923,0.001615,0.001615,0.001,0.001,0.001,0.011462,0.010846,0.004692,0.011462,0.047768
098-3-D-1,1untr,0,0.490231,0.180077,0.052692,0.069308,0.043462,0.020692,0.029923,0.016385,0.065,0.009615,0.001,0.001,0.001,0.001,0.001615,0.002231,0.007769,0.001615,0.004077,0.021308
021-1D0,7amp.5,70000,0.737,0.061308,0.027462,0.013308,0.002231,0.007154,0.015154,0.011462,0.001615,0.034231,0.034846,0.009615,0.002846,0.001615,0.004077,0.005923,0.002231,0.010846,0.007769,0.029307
021-4D0,7amp.5,2700,0.801,0.068077,0.014538,0.025,0.001615,0.012692,0.017615,0.007769,0.002231,0.014538,0.006538,0.003462,0.001615,0.002846,0.004077,0.007769,0.012692,0.002846,0.002846,0.010234
024-1D0,6cef.5,34000000,0.135769,0.194846,0.011462,0.069923,0.004077,0.039154,0.079154,0.084077,0.005923,0.001615,0.226231,0.019462,0.020077,0.012077,0.022538,0.025615,0.001,0.002846,0.002846,0.061308
024-3D0,6cef.5,78000000,0.140077,0.091462,0.023154,0.046538,0.004077,0.043462,0.106846,0.084692,0.007769,0.001615,0.247769,0.022538,0.007769,0.003462,0.027462,0.046538,0.019462,0.001615,0.007769,0.085924
050-1-D0,7amp.5,75000000,0.103154,0.098846,0.017615,0.003462,0.029308,0.021308,0.065,0.015769,0.001,0.001,0.369615,0.069308,0.050846,0.029308,0.020077,0.001,0.001,0.001,0.006538,0.114846
050-2-D0,7amp.5,80000000,0.116077,0.108077,0.001,0.007154,0.006538,0.005308,0.137615,0.013308,0.001,0.001,0.300077,0.069308,0.042231,0.031154,0.047769,0.002846,0.001,0.001,0.001,0.126538
050-3-D0,7amp.5,35000000,0.037308,0.050846,0.001,0.032385,0.006538,0.010846,0.027462,0.025,0.001615,0.001,0.385,0.074231,0.080385,0.074846,0.059462,0.001,0.001,0.001,0.001615,0.147461
050-4-D0,7amp.5,120000,0.051462,0.124077,0.017,0.012077,0.004077,0.039769,0.068692,0.005308,0.001,0.001,0.455769,0.081,0.033615,0.009,0.042231,0.001,0.001,0.001,0.001,0.069923
600-3D0,6cef.5,2.29E+08,0.166538,0.061923,0.001,0.029308,0.020077,0.013308,0.050846,0.042231,0.001,0.001,0.183769,0.068692,0.092692,0.085308,0.039154,0.001,0.001615,0.001615,0.001,0.157924
600-4D0,6cef.5,1.17E+08,0.065615,0.013923,0.001,0.515462,0.001615,0.001615,0.015154,0.005923,0.001,0.001,0.133308,0.060077,0.047769,0.037923,0.015154,0.001,0.001,0.001,0.001,0.099462
039-3D0,4vanc.625,36500000,0.001615,0.001,0.001,0.021308,0.001,0.386231,0.001615,0.001,0.001,0.001,0.583154,0.001,0.001,0.001,0.001,0.010231,0.001,0.001,0.001,0.002846
040-1D0,8metro1,116000000,0.003462,0.001,0.001,0.108077,0.001,0.001,0.001615,0.002846,0.025,0.001,0.862538,0.001,0.001615,0.001,0.001,0.001,0.002231,0.001,0.001,0.001616
040-2D0,8metro1,121000000,0.003462,0.004077,0.001615,0.266231,0.001,0.001,0.002231,0.002231,0.025615,0.001,0.701308,0.001615,0.001,0.001,0.001,0.001615,0.001,0.001,0.001,0.001
040-3D0,8metro1,134000000,0.006538,0.005923,0.001615,0.171462,0.001,0.001615,0.003462,0.002231,0.033615,0.001615,0.777,0.001,0.001,0.001,0.002231,0.001615,0.001,0.001,0.001,0.004078
040-4D0,8metro1,93000000,0.004692,0.005308,0.001,0.177615,0.001,0.001615,0.003462,0.001615,0.047154,0.002231,0.711769,0.001615,0.004692,0.002231,0.001615,0.001615,0.001615,0.001615,0.001615,0.045926
103-1-D0,8metro1,18300000,0.394231,0.009615,0.001,0.140077,0.018231,0.002846,0.001615,0.001,0.049615,0.001,0.381308,0.001615,0.001,0.001,0.001,0.001,0.006538,0.001,0.004692,0.001617
103-2-D0,8metro1,38300000,0.013308,0.010846,0.001,0.223154,0.016385,0.003462,0.002231,0.001,0.029308,0.001615,0.701923,0.001,0.001,0.002231,0.001,0.001,0.001615,0.001615,0.001,0.005307
103-3-D0,8metro1,43800000,0.058231,0.021923,0.001,0.242846,0.011462,0.009615,0.004077,0.001615,0.063769,0.001,0.592385,0.001,0.001,0.001615,0.001,0.001,0.001,0.001,0.001,0.003462
047-1D0,5strep5,72000000,0.520385,0.001,0.001,0.002231,0.001,0.316077,0.017615,0.019462,0.001,0.122846,0.001,0.001,0.001,0.001,0.001,0.001,0.008385,0.001,0.001,9.99E-04
047-2D0,5strep5,73000000,0.497615,0.002231,0.001,0.001615,0.001,0.282231,0.034231,0.042231,0.001,0.131462,0.001,0.001,0.001,0.001,0.001,0.001,0.016385,0.001,0.001,9.99E-04
047-3D0,5strep5,27000000,0.556077,0.001,0.001,0.001,0.001,0.210231,0.007154,0.028077,0.001,0.180077,0.001,0.001,0.001,0.001,0.001,0.001,0.024385,0.001,0.001,9.99E-04
627-1D0,5strep5,3.40E+07,0.403462,0.583154,0.001,0.007769,0.001,0.001,0.001,0.002231,0.001,0.001,0.001615,0.001,0.001,0.001,0.001615,0.001,0.005923,0.001,0.001,0.002231
627-2D0,5strep5,3.46E+07,0.529615,0.442846,0.001615,0.025,0.001,0.001,0.001,0.001615,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.004692,0.001,0.001,0.001617
627-3D0,5strep5,1.01E+08,0.287154,0.701923,0.001,0.005308,0.001,0.001,0.002846,0.005923,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002846,0.001,0.001,0.001
627-4D0,5strep5,5.70E+07,0.359769,0.620077,0.001,0.017,0.001,0.001,0.001,0.004692,0.001,0.001,0.001615,0.001,0.001,0.001,0.001,0.001,0.002846,0.001,0.001,1.00E-03
627-5D0,5strep5,7.00E+07,0.463769,0.511769,0.001,0.015769,0.001,0.001615,0.004077,0.001615,0.001,0.001,0.002846,0.001,0.001,0.001,0.001,0.001,0.005308,0.001,0.001,0.002232
004-1D0,3clinda,60000000,0.004077,0.002846,0.002231,0.263154,0.001615,0.001,0.001,0.001615,0.001,0.001,0.730846,0.001615,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1.00E-03
004-2D0,3clinda,7300000,0.010231,0.010846,0.001,0.140692,0.001615,0.001615,0.002846,0.002846,0.001,0.001,0.834846,0.001615,0.001,0.001,0.001,0.001615,0.001,0.001,0.001,0.002233
004-359D0,3clinda,23300000,0.007154,0.004692,0.001,0.188692,0.001615,0.003462,0.001,0.002846,0.001,0.001,0.796692,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2.85E-03
004-4D0,3clinda,110000,0.005308,0.001,0.001,0.119769,0.001,0.002231,0.001,0.001,0.001,0.001,0.874846,0.002231,0.001,0.001,0.001,0.001,0.001,0.001,0.001615,0.001
015-1D0,2cipro,0,0.652077,0.010846,0.003462,0.019462,0.001,0.009,0.209615,0.079769,0.001615,0.002231,0.001615,0.001,0.001,0.001,0.001,0.004692,0.002846,0.014538,0.002231,1.00E-03
015-2D0,2cipro,0,0.628077,0.170231,0.001,0.009615,0.001,0.003462,0.095769,0.037308,0.002846,0.018231,0.001,0.001,0.001615,0.001,0.001,0.007154,0.005308,0.025615,0.002846,0.005923
015-3D0,2cipro,0,0.624385,0.197923,0.015769,0.012692,0.001,0.033615,0.021923,0.022538,0.014538,0.023769,0.001,0.001,0.001,0.001,0.001,0.012077,0.005308,0.002231,0.018846,0.008386
052-1-D0,3clinda,57000000,0.001,0.001,0.001,0.024385,0.002231,0.002231,0.002231,0.002846,0.001,0.001615,0.971462,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,9.99E-04
052-2-D0,3clinda,38000000,0.001615,0.001,0.001,0.006538,0.001,0.001615,0.001615,0.006538,0.001,0.001,0.987462,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001617
052-3-D0,3clinda,21000000,0.001615,0.001615,0.001,0.020077,0.002231,0.001615,0.002231,0.005923,0.001,0.001,0.970231,0.001,0.001615,0.001615,0.001,0.001,0.001,0.001,0.001615,0.001617
052-4-D0,3clinda,86000000,0.002846,0.001615,0.001,0.013923,0.001,0.002846,0.002231,0.017615,0.001,0.001,0.961,0.002231,0.001,0.001,0.001,0.001,0.001,0.001,0.002846,0.002847
097-2-D0,2cipro,0,0.636692,0.076077,0.001615,0.085308,0.001615,0.069923,0.066846,0.061923,0.001,0.001,0.004077,0.001,0.001615,0.001,0.001,0.004077,0.001,0.001615,0.001,1.62E-03
097-3-D0,2cipro,0,0.650846,0.158538,0.001,0.063154,0.001,0.007154,0.029923,0.014538,0.065,0.002846,0.002231,0.001615,0.001615,0.001,0.001,0.004692,0.004077,0.001,0.001,0.007771
098-1-D0,3clinda,30700000,0.023769,0.014538,0.003462,0.070538,0.004077,0.014538,0.010231,0.006538,0.001,0.002231,0.840385,0.004692,0.001,0.001,0.002231,0.001615,0.005308,0.001,0.001,0.010847
098-2-D0,3clinda,34100000,0.014538,0.017,0.004077,0.058231,0.001615,0.012692,0.005923,0.004077,0.001615,0.001,0.871769,0.001615,0.002231,0.001,0.001,0.003462,0.003462,0.001,0.001,0.012693
098-3-D0,3clinda,0,0.005308,0.013923,0.001615,0.035462,0.002231,0.005923,0.013923,0.019462,0.001,0.001,0.890846,0.001615,0.002231,0.001,0.002231,0.002846,0.003462,0.001,0.001,0.013922
007-2D1,4vanc.625,99000000,0.002231,0.002231,0.001,0.156692,0.001,0.559154,0.001615,0.001,0.001,0.001,0.173923,0.001,0.001,0.001,0.001615,0.106231,0.001,0.001,0.002846,0.003462
007-357D1,4vanc.625,25000000,0.001615,0.001615,0.001,0.110538,0.001,0.695154,0.001,0.001,0.001,0.001,0.144385,0.001615,0.001,0.001,0.001,0.048385,0.001,0.001,0.001,0.004693
007-358D1,4vanc.625,74000000,0.015154,0.022538,0.001,0.078538,0.001,0.439769,0.002231,0.001615,0.001,0.001615,0.116692,0.013923,0.058846,0.037308,0.018231,0.042846,0.001,0.001,0.001615,0.164079
0071D1,4vanc.625,83000000,0.001,0.001,0.001,0.129,0.001,0.675462,0.001,0.001,0.001,0.001,0.125923,0.001,0.001,0.001,0.001,0.072385,0.001,0.001,0.001615,0.001615
039-1D1,4vanc.625,115000000,0.022538,0.098846,0.001,0.030538,0.001,0.421923,0.001615,0.002231,0.001,0.007154,0.409,0.001,0.001,0.001,0.001,0.014538,0.001,0.001,0.001,1.62E-03
039-3D1,4vanc.625,160000000,0.003462,0.001615,0.001,0.012077,0.002231,0.437923,0.001,0.001,0.001,0.001,0.519154,0.001,0.001615,0.001,0.001,0.020692,0.001,0.001,0.001,0.010231
