sample	CFU	group	mouse	day	abx	dose	time	Cdiff	preABX	recovDays
021-4D5	17000000	21	4	5	amp	0.5	on-time	630dE	other	no
021-4D6	54000000	21	4	6	amp	0.5	on-time	630dE	other	no
021-4D7	20000000	21	4	7	amp	0.5	on-time	630dE	other	no
021-4D8	24000000	21	4	8	amp	0.5	on-time	630dE	other	no
021-4D9	12200000	21	4	9	amp	0.5	on-time	630dE	other	no
022-1D-6	0	22	1	-6	amp	0.5	on-time	none	preAbx	no
022-1D0	NA	22	1	0	amp	0.5	on-time	none	other	no
022-1D1	NA	22	1	1	amp	0.5	on-time	none	other	no
022-1D10	NA	22	1	10	amp	0.5	on-time	none	other	no
022-1D2	NA	22	1	2	amp	0.5	on-time	none	other	no
022-1D3	NA	22	1	3	amp	0.5	on-time	none	other	no
022-1D4	NA	22	1	4	amp	0.5	on-time	none	other	no
022-1D5	NA	22	1	5	amp	0.5	on-time	none	other	no
022-1D6	NA	22	1	6	amp	0.5	on-time	none	other	no
022-1D7	NA	22	1	7	amp	0.5	on-time	none	other	no
022-1D8	NA	22	1	8	amp	0.5	on-time	none	other	no
022-1D9	NA	22	1	9	amp	0.5	on-time	none	other	no
022-2D-1	NA	22	2	-1	amp	0.5	on-time	none	other	no
022-2D1	NA	22	2	1	amp	0.5	on-time	none	other	no
022-2D10	NA	22	2	10	amp	0.5	on-time	none	other	no
022-2D2	NA	22	2	2	amp	0.5	on-time	none	other	no
022-2D3	NA	22	2	3	amp	0.5	on-time	none	other	no
022-2D4	NA	22	2	4	amp	0.5	on-time	none	other	no
022-2D5	NA	22	2	5	amp	0.5	on-time	none	other	no
022-2D6	NA	22	2	6	amp	0.5	on-time	none	other	no
022-2D7	NA	22	2	7	amp	0.5	on-time	none	other	no
022-2D8	NA	22	2	8	amp	0.5	on-time	none	other	no
022-2D9	NA	22	2	9	amp	0.5	on-time	none	other	no
022-3D-6	0	22	3	-6	amp	0.5	on-time	none	preAbx	no
022-3D0	NA	22	3	0	amp	0.5	on-time	none	other	no
022-3D1	NA	22	3	1	amp	0.5	on-time	none	other	no
022-3D10	NA	22	3	10	amp	0.5	on-time	none	other	no
022-3D2	NA	22	3	2	amp	0.5	on-time	none	other	no
022-3D3	NA	22	3	3	amp	0.5	on-time	none	other	no
022-3D4	NA	22	3	4	amp	0.5	on-time	none	other	no
022-3D5	NA	22	3	5	amp	0.5	on-time	none	other	no
022-3D6	NA	22	3	6	amp	0.5	on-time	none	other	no
022-3D7	NA	22	3	7	amp	0.5	on-time	none	other	no
022-3D8	NA	22	3	8	amp	0.5	on-time	none	other	no
022-3D9	NA	22	3	9	amp	0.5	on-time	none	other	no
050-1-D0	NA	50	1	0	amp	0.5	on-time	630dE	other	no
050-1-D1	75000000	50	1	1	amp	0.5	on-time	630dE	other	no
050-1-D10	24000000	50	1	10	amp	0.5	on-time	630dE	other	no
050-1-D2	102000000	50	1	2	amp	0.5	on-time	630dE	other	no
050-1-D3	195000000	50	1	3	amp	0.5	on-time	630dE	other	no
050-1-D4	108000000	50	1	4	amp	0.5	on-time	630dE	other	no
050-1-D5	14700000	50	1	5	amp	0.5	on-time	630dE	other	no
050-1-D6	18700000	50	1	6	amp	0.5	on-time	630dE	other	no
050-1-D7	8500000	50	1	7	amp	0.5	on-time	630dE	other	no
050-1-D8	23900000	50	1	8	amp	0.5	on-time	630dE	other	no
050-1-D9	NA	50	1	9	amp	0.5	on-time	630dE	other	no
050-1D-6	0	50	1	-6	amp	0.5	on-time	630dE	preAbx	no
050-2-D0	NA	50	2	0	amp	0.5	on-time	630dE	other	no
050-2-D1	80000000	50	2	1	amp	0.5	on-time	630dE	other	no
050-2-D10	15600000	50	2	10	amp	0.5	on-time	630dE	other	no
050-2-D2	85000000	50	2	2	amp	0.5	on-time	630dE	other	no
050-2-D3	203000000	50	2	3	amp	0.5	on-time	630dE	other	no
050-2-D4	74000000	50	2	4	amp	0.5	on-time	630dE	other	no
050-2-D5	43000000	50	2	5	amp	0.5	on-time	630dE	other	no
050-2-D6	26800000	50	2	6	amp	0.5	on-time	630dE	other	no
050-2-D7	13500000	50	2	7	amp	0.5	on-time	630dE	other	no
050-2-D8	35600000	50	2	8	amp	0.5	on-time	630dE	other	no
050-2-D9	NA	50	2	9	amp	0.5	on-time	630dE	other	no
050-2D-6	0	50	2	-6	amp	0.5	on-time	630dE	preAbx	no
050-3-D0	NA	50	3	0	amp	0.5	on-time	630dE	other	no
050-3-D1	35000000	50	3	1	amp	0.5	on-time	630dE	other	no
050-3-D10	20300000	50	3	10	amp	0.5	on-time	630dE	other	no
050-3-D2	103000000	50	3	2	amp	0.5	on-time	630dE	other	no
050-3-D3	240000000	50	3	3	amp	0.5	on-time	630dE	other	no
050-3-D5	20000000	50	3	5	amp	0.5	on-time	630dE	other	no
050-3-D6	21200000	50	3	6	amp	0.5	on-time	630dE	other	no
050-3-D7	42000000	50	3	7	amp	0.5	on-time	630dE	other	no
050-3-D8	26400000	50	3	8	amp	0.5	on-time	630dE	other	no
050-3-D9	NA	50	3	9	amp	0.5	on-time	630dE	other	no
050-3D-6	0	50	3	-6	amp	0.5	on-time	630dE	preAbx	no
050-4-D0	NA	50	4	0	amp	0.5	on-time	630dE	other	no
050-4-D1	120000	50	4	1	amp	0.5	on-time	630dE	other	no
050-4-D10	13000000	50	4	10	amp	0.5	on-time	630dE	other	no
050-4-D2	87000000	50	4	2	amp	0.5	on-time	630dE	other	no
050-4-D3	152000000	50	4	3	amp	0.5	on-time	630dE	other	no
050-4-D4	54000000	50	4	4	amp	0.5	on-time	630dE	other	no
050-4-D5	520000	50	4	5	amp	0.5	on-time	630dE	other	no
050-4-D6	72000000	50	4	6	amp	0.5	on-time	630dE	other	no
050-4-D7	20000000	50	4	7	amp	0.5	on-time	630dE	other	no
050-4-D8	36000000	50	4	8	amp	0.5	on-time	630dE	other	no
050-4-D9	NA	50	4	9	amp	0.5	on-time	630dE	other	no
050-4D-6	0	50	4	-6	amp	0.5	on-time	630dE	preAbx	no
051-1-D-5	NA	51	1	-5	amp	0.5	on-time	none	other	no
051-1-D0	NA	51	1	0	amp	0.5	on-time	none	other	no
051-1-D1	NA	51	1	1	amp	0.5	on-time	none	other	no
051-1-D10	NA	51	1	10	amp	0.5	on-time	none	other	no
051-1-D2	NA	51	1	2	amp	0.5	on-time	none	other	no
051-1-D3	NA	51	1	3	amp	0.5	on-time	none	other	no
051-1-D4	NA	51	1	4	amp	0.5	on-time	none	other	no
051-1-D6	NA	51	1	6	amp	0.5	on-time	none	other	no
051-1-D7	NA	51	1	7	amp	0.5	on-time	none	other	no
051-1-D8	NA	51	1	8	amp	0.5	on-time	none	other	no
051-1-D9	NA	51	1	9	amp	0.5	on-time	none	other	no
051-1D-6	0	51	1	-6	amp	0.5	on-time	none	preAbx	no
051-2-D0	NA	51	2	0	amp	0.5	on-time	none	other	no
051-2-D1	NA	51	2	1	amp	0.5	on-time	none	other	no
051-2-D10	NA	51	2	10	amp	0.5	on-time	none	other	no
051-2-D2	NA	51	2	2	amp	0.5	on-time	none	other	no
051-2-D3	NA	51	2	3	amp	0.5	on-time	none	other	no
051-2-D4	NA	51	2	4	amp	0.5	on-time	none	other	no
051-2-D5	NA	51	2	5	amp	0.5	on-time	none	other	no
051-2-D6	NA	51	2	6	amp	0.5	on-time	none	other	no
051-2-D7	NA	51	2	7	amp	0.5	on-time	none	other	no
051-2-D8	NA	51	2	8	amp	0.5	on-time	none	other	no
051-2-D9	NA	51	2	9	amp	0.5	on-time	none	other	no
051-2D-6	0	51	2	-6	amp	0.5	on-time	none	preAbx	no
051-3-D0	NA	51	3	0	amp	0.5	on-time	none	other	no
051-3-D1	NA	51	3	1	amp	0.5	on-time	none	other	no
051-3-D10	NA	51	3	10	amp	0.5	on-time	none	other	no
051-3-D2	NA	51	3	2	amp	0.5	on-time	none	other	no
051-3-D3	NA	51	3	3	amp	0.5	on-time	none	other	no
051-3-D4	NA	51	3	4	amp	0.5	on-time	none	other	no
051-3-D5	NA	51	3	5	amp	0.5	on-time	none	other	no
051-3-D6	NA	51	3	6	amp	0.5	on-time	none	other	no
051-3-D7	NA	51	3	7	amp	0.5	on-time	none	other	no
051-3-D8	NA	51	3	8	amp	0.5	on-time	none	other	no
051-3-D9	NA	51	3	9	amp	0.5	on-time	none	other	no
051-3D-6	0	51	3	-6	amp	0.5	on-time	none	preAbx	no
106-1-D-6	0	106	1	-6	amp	0.5	on-time	630dE	preAbx	no
106-1-D0	NA	106	1	0	amp	0.5	on-time	630dE	other	no
106-1-D1	23400000	106	1	1	amp	0.5	on-time	630dE	other	no
106-1-D10	46000000	106	1	10	amp	0.5	on-time	630dE	other	no
106-1-D3	80000000	106	1	3	amp	0.5	on-time	630dE	other	no
106-1-D4	83000000	106	1	4	amp	0.5	on-time	630dE	other	no
106-1-D5	41000000	106	1	5	amp	0.5	on-time	630dE	other	no
106-1-D6	21100000	106	1	6	amp	0.5	on-time	630dE	other	no
106-1-D7	18000000	106	1	7	amp	0.5	on-time	630dE	other	no
106-1-D8	9500000	106	1	8	amp	0.5	on-time	630dE	other	no
106-1-D9	15700000	106	1	9	amp	0.5	on-time	630dE	other	no
106-1D2	142000000	106	1	2	amp	0.5	on-time	630dE	other	no
109-1-D-1	NA	109	1	-1	amp	0.5	delayed	630dE	other	recovD5
109-1-D-11	0	109	1	-11	amp	0.5	delayed	630dE	preAbx	no
109-1-D-2	NA	109	1	-2	amp	0.5	delayed	630dE	other	recovD4
109-1-D-3	NA	109	1	-3	amp	0.5	delayed	630dE	other	recovD3
109-1-D-4	NA	109	1	-4	amp	0.5	delayed	630dE	other	recovD2
109-1-D0	NA	109	1	0	amp	0.5	delayed	630dE	other	no
109-1-D1	300	109	1	1	amp	0.5	delayed	630dE	other	no
109-1-D10	7400	109	1	10	amp	0.5	delayed	630dE	other	no
109-1-D2	30000	109	1	2	amp	0.5	delayed	630dE	other	no
109-1-D3	89000	109	1	3	amp	0.5	delayed	630dE	other	no
109-1-D4	40000	109	1	4	amp	0.5	delayed	630dE	other	no
109-1-D5	20000	109	1	5	amp	0.5	delayed	630dE	other	no
109-1-D6	1300	109	1	6	amp	0.5	delayed	630dE	other	no
109-1-D7	1100	109	1	7	amp	0.5	delayed	630dE	other	no
109-1-D8	2100	109	1	8	amp	0.5	delayed	630dE	other	no
109-1-D9	20600	109	1	9	amp	0.5	delayed	630dE	other	no
109-2-D-1	NA	109	2	-1	amp	0.5	delayed	630dE	other	recovD5
109-2-D-11	0	109	2	-11	amp	0.5	delayed	630dE	preAbx	no
109-2-D-2	NA	109	2	-2	amp	0.5	delayed	630dE	other	recovD4
109-2-D-3	NA	109	2	-3	amp	0.5	delayed	630dE	other	recovD3
109-2-D-4	NA	109	2	-4	amp	0.5	delayed	630dE	other	recovD2
109-2-D-5	NA	109	2	-5	amp	0.5	delayed	630dE	other	recovD1
109-2-D0	NA	109	2	0	amp	0.5	delayed	630dE	other	no
109-2-D1	1100	109	2	1	amp	0.5	delayed	630dE	other	no
109-2-D10	2700	109	2	10	amp	0.5	delayed	630dE	other	no
109-2-D2	2080000	109	2	2	amp	0.5	delayed	630dE	other	no
109-2-D3	2200000	109	2	3	amp	0.5	delayed	630dE	other	no
109-2-D4	690000	109	2	4	amp	0.5	delayed	630dE	other	no
109-2-D6	360000	109	2	6	amp	0.5	delayed	630dE	other	no
109-2-D7	323000	109	2	7	amp	0.5	delayed	630dE	other	no
109-2-D8	29000	109	2	8	amp	0.5	delayed	630dE	other	no
109-2-D9	3900	109	2	9	amp	0.5	delayed	630dE	other	no
109-3-D-1	NA	109	3	-1	amp	0.5	delayed	630dE	other	recovD5
109-3-D-2	NA	109	3	-2	amp	0.5	delayed	630dE	other	recovD4
109-3-D-3	NA	109	3	-3	amp	0.5	delayed	630dE	other	recovD3
109-3-D-4	NA	109	3	-4	amp	0.5	delayed	630dE	other	recovD2
109-3-D-5	NA	109	3	-5	amp	0.5	delayed	630dE	other	recovD1
109-3-D0	NA	109	3	0	amp	0.5	delayed	630dE	other	no
109-3-D1	500	109	3	1	amp	0.5	delayed	630dE	other	no
109-3-D10	1000	109	3	10	amp	0.5	delayed	630dE	other	no
109-3-D2	114000	109	3	2	amp	0.5	delayed	630dE	other	no
109-3-D3	90000	109	3	3	amp	0.5	delayed	630dE	other	no
109-3-D4	183000	109	3	4	amp	0.5	delayed	630dE	other	no
109-3-D5	222000	109	3	5	amp	0.5	delayed	630dE	other	no
109-3-D7	11000	109	3	7	amp	0.5	delayed	630dE	other	no
109-3-D8	8300	109	3	8	amp	0.5	delayed	630dE	other	no
109-3-D9	14200	109	3	9	amp	0.5	delayed	630dE	other	no
109-4-D-1	NA	109	4	-1	amp	0.5	delayed	630dE	other	recovD5
109-4-D-2	NA	109	4	-2	amp	0.5	delayed	630dE	other	recovD4
109-4-D-3	NA	109	4	-3	amp	0.5	delayed	630dE	other	recovD3
109-4-D-4	NA	109	4	-4	amp	0.5	delayed	630dE	other	recovD2
109-4-D-5	NA	109	4	-5	amp	0.5	delayed	630dE	other	recovD1
109-4-D0	NA	109	4	0	amp	0.5	delayed	630dE	other	no
109-4-D1	4000	109	4	1	amp	0.5	delayed	630dE	other	no
109-4-D10	16600	109	4	10	amp	0.5	delayed	630dE	other	no
109-4-D2	2880000	109	4	2	amp	0.5	delayed	630dE	other	no
109-4-D3	5900000	109	4	3	amp	0.5	delayed	630dE	other	no
109-4-D4	800000	109	4	4	amp	0.5	delayed	630dE	other	no
109-4-D5	160000	109	4	5	amp	0.5	delayed	630dE	other	no
109-4-D6	19000	109	4	6	amp	0.5	delayed	630dE	other	no
109-4-D7	12600	109	4	7	amp	0.5	delayed	630dE	other	no
109-4-D8	26500	109	4	8	amp	0.5	delayed	630dE	other	no
109-4-D9	7000	109	4	9	amp	0.5	delayed	630dE	other	no
109-5-D-1	NA	109	5	-1	amp	0.5	delayed	630dE	other	recovD5
109-5-D-11	0	109	5	-11	amp	0.5	delayed	630dE	preAbx	no
109-5-D-2	NA	109	5	-2	amp	0.5	delayed	630dE	other	recovD4
109-5-D-3	NA	109	5	-3	amp	0.5	delayed	630dE	other	recovD3
109-5-D-4	NA	109	5	-4	amp	0.5	delayed	630dE	other	recovD2
109-5-D-5	NA	109	5	-5	amp	0.5	delayed	630dE	other	recovD1
109-5-D0	NA	109	5	0	amp	0.5	delayed	630dE	other	no
109-5-D1	1540000	109	5	1	amp	0.5	delayed	630dE	other	no
109-5-D10	2900	109	5	10	amp	0.5	delayed	630dE	other	no
109-5-D2	22900000	109	5	2	amp	0.5	delayed	630dE	other	no
109-5-D3	8400000	109	5	3	amp	0.5	delayed	630dE	other	no
109-5-D4	2900000	109	5	4	amp	0.5	delayed	630dE	other	no
109-5-D5	600000	109	5	5	amp	0.5	delayed	630dE	other	no
109-5-D6	110000	109	5	6	amp	0.5	delayed	630dE	other	no
109-5-D7	20000	109	5	7	amp	0.5	delayed	630dE	other	no
109-5-D8	9600	109	5	8	amp	0.5	delayed	630dE	other	no
109-5-D9	14400	109	5	9	amp	0.5	delayed	630dE	other	no
111-1-D-11	0	111	1	-11	amp	0.5	delayed	630dE	preAbx	no
111-1-D-3	NA	111	1	-3	amp	0.5	delayed	630dE	other	recovD3
111-1-D-4	NA	111	1	-4	amp	0.5	delayed	630dE	other	recovD2
111-1-D0	NA	111	1	0	amp	0.5	delayed	630dE	other	no
111-1-D1	18600	111	1	1	amp	0.5	delayed	630dE	other	no
111-1-D10	100000	111	1	10	amp	0.5	delayed	630dE	other	no
111-1-D2	5000000	111	1	2	amp	0.5	delayed	630dE	other	no
111-1-D3	5000000	111	1	3	amp	0.5	delayed	630dE	other	no
111-1-D4	650000	111	1	4	amp	0.5	delayed	630dE	other	no
111-1-D5	1520000	111	1	5	amp	0.5	delayed	630dE	other	no
111-1-D6	1790000	111	1	6	amp	0.5	delayed	630dE	other	no
111-1-D7	1300000	111	1	7	amp	0.5	delayed	630dE	other	no
111-1-D8	1420000	111	1	8	amp	0.5	delayed	630dE	other	no
111-1-D9	1390000	111	1	9	amp	0.5	delayed	630dE	other	no
111-2-D-11	0	111	2	-11	amp	0.5	delayed	630dE	preAbx	no
111-2-D-2	NA	111	2	-2	amp	0.5	delayed	630dE	other	recovD4
111-2-D-3	NA	111	2	-3	amp	0.5	delayed	630dE	other	recovD3
111-2-D-4	NA	111	2	-4	amp	0.5	delayed	630dE	other	recovD2
111-2-D1	600	111	2	1	amp	0.5	delayed	630dE	other	no
111-2-D10	1050000	111	2	10	amp	0.5	delayed	630dE	other	no
111-2-D2	7500000	111	2	2	amp	0.5	delayed	630dE	other	no
111-2-D3	3700000	111	2	3	amp	0.5	delayed	630dE	other	no
111-2-D4	810000	111	2	4	amp	0.5	delayed	630dE	other	no
111-2-D5	1510000	111	2	5	amp	0.5	delayed	630dE	other	no
111-2-D6	1930000	111	2	6	amp	0.5	delayed	630dE	other	no
111-2-D7	1690000	111	2	7	amp	0.5	delayed	630dE	other	no
111-2-D8	1080000	111	2	8	amp	0.5	delayed	630dE	other	no
111-2-D9	1480000	111	2	9	amp	0.5	delayed	630dE	other	no
111-3-D-1	NA	111	3	-1	amp	0.5	delayed	630dE	other	recovD5
111-3-D-11	0	111	3	-11	amp	0.5	delayed	630dE	preAbx	no
111-3-D-2	NA	111	3	-2	amp	0.5	delayed	630dE	other	recovD4
111-3-D-3	NA	111	3	-3	amp	0.5	delayed	630dE	other	recovD3
111-3-D-4	NA	111	3	-4	amp	0.5	delayed	630dE	other	recovD2
111-3-D-5	NA	111	3	-5	amp	0.5	delayed	630dE	other	recovD1
111-3-D0	NA	111	3	0	amp	0.5	delayed	630dE	other	no
111-3-D1	2400	111	3	1	amp	0.5	delayed	630dE	other	no
111-3-D10	340000	111	3	10	amp	0.5	delayed	630dE	other	no
111-3-D2	7300000	111	3	2	amp	0.5	delayed	630dE	other	no
111-3-D3	11800000	111	3	3	amp	0.5	delayed	630dE	other	no
111-3-D4	NA	111	3	4	amp	0.5	delayed	630dE	other	no
111-3-D5	1340000	111	3	5	amp	0.5	delayed	630dE	other	no
111-3-D6	233000	111	3	6	amp	0.5	delayed	630dE	other	no
111-3-D7	1260000	111	3	7	amp	0.5	delayed	630dE	other	no
111-3-D8	2380000	111	3	8	amp	0.5	delayed	630dE	other	no
111-3-D9	910000	111	3	9	amp	0.5	delayed	630dE	other	no
111-4-D-1	NA	111	4	-1	amp	0.5	delayed	630dE	other	recovD5
111-4-D-11	0	111	4	-11	amp	0.5	delayed	630dE	preAbx	no
111-4-D-2	NA	111	4	-2	amp	0.5	delayed	630dE	other	recovD4
111-4-D-3	NA	111	4	-3	amp	0.5	delayed	630dE	other	recovD3
111-4-D-4	NA	111	4	-4	amp	0.5	delayed	630dE	other	recovD2
111-4-D-5	NA	111	4	-5	amp	0.5	delayed	630dE	other	recovD1
111-4-D0	NA	111	4	0	amp	0.5	delayed	630dE	other	no
111-4-D1	14500	111	4	1	amp	0.5	delayed	630dE	other	no
111-4-D10	920000	111	4	10	amp	0.5	delayed	630dE	other	no
111-4-D2	6000000	111	4	2	amp	0.5	delayed	630dE	other	no
111-4-D3	5600000	111	4	3	amp	0.5	delayed	630dE	other	no
111-4-D4	360000	111	4	4	amp	0.5	delayed	630dE	other	no
111-4-D5	1230000	111	4	5	amp	0.5	delayed	630dE	other	no
111-4-D6	1240000	111	4	6	amp	0.5	delayed	630dE	other	no
111-4-D7	980000	111	4	7	amp	0.5	delayed	630dE	other	no
111-4-D8	1120000	111	4	8	amp	0.5	delayed	630dE	other	no
111-4-D9	560000	111	4	9	amp	0.5	delayed	630dE	other	no
117-1-D-11	0	117	1	-11	amp	0.5	delayed	630dE	preAbx	no
117-1-D-2	NA	117	1	-2	amp	0.5	delayed	630dE	other	recovD4
117-1-D-3	NA	117	1	-3	amp	0.5	delayed	630dE	other	recovD3
117-1-D-4	NA	117	1	-4	amp	0.5	delayed	630dE	other	recovD2
117-1-D-5	NA	117	1	-5	amp	0.5	delayed	630dE	other	recovD1
117-1-D0	NA	117	1	0	amp	0.5	delayed	630dE	other	no
117-1-D1	5800000	117	1	1	amp	0.5	delayed	630dE	other	no
117-1-D10	580000	117	1	10	amp	0.5	delayed	630dE	other	no
117-1-D2	4900000	117	1	2	amp	0.5	delayed	630dE	other	no
117-1-D3	800000	117	1	3	amp	0.5	delayed	630dE	other	no
117-1-D4	820000	117	1	4	amp	0.5	delayed	630dE	other	no
117-1-D5	530000	117	1	5	amp	0.5	delayed	630dE	other	no
117-1-D6	1340000	117	1	6	amp	0.5	delayed	630dE	other	no
117-1-D7	770000	117	1	7	amp	0.5	delayed	630dE	other	no
117-1-D8	1470000	117	1	8	amp	0.5	delayed	630dE	other	no
117-1-D9	920000	117	1	9	amp	0.5	delayed	630dE	other	no
117-2-D-11	0	117	2	-11	amp	0.5	delayed	630dE	preAbx	no
117-2-D-2	NA	117	2	-2	amp	0.5	delayed	630dE	other	recovD4
117-2-D-3	NA	117	2	-3	amp	0.5	delayed	630dE	other	recovD3
117-2-D-4	NA	117	2	-4	amp	0.5	delayed	630dE	other	recovD2
117-2-D-5	NA	117	2	-5	amp	0.5	delayed	630dE	other	recovD1
117-2-D0	NA	117	2	0	amp	0.5	delayed	630dE	other	no
117-2-D1	1390000	117	2	1	amp	0.5	delayed	630dE	other	no
117-2-D10	66000	117	2	10	amp	0.5	delayed	630dE	other	no
117-2-D2	5600000	117	2	2	amp	0.5	delayed	630dE	other	no
117-2-D3	3800000	117	2	3	amp	0.5	delayed	630dE	other	no
117-2-D4	700000	117	2	4	amp	0.5	delayed	630dE	other	no
117-2-D5	380000	117	2	5	amp	0.5	delayed	630dE	other	no
117-2-D6	400000	117	2	6	amp	0.5	delayed	630dE	other	no
117-2-D7	150000	117	2	7	amp	0.5	delayed	630dE	other	no
117-2-D8	121000	117	2	8	amp	0.5	delayed	630dE	other	no
117-2-D9	70000	117	2	9	amp	0.5	delayed	630dE	other	no
117-3-D-11	0	117	3	-11	amp	0.5	delayed	630dE	preAbx	no
117-3-D-2	NA	117	3	-2	amp	0.5	delayed	630dE	other	recovD4
117-3-D-3	NA	117	3	-3	amp	0.5	delayed	630dE	other	recovD3
117-3-D-4	NA	117	3	-4	amp	0.5	delayed	630dE	other	recovD2
117-3-D-5	NA	117	3	-5	amp	0.5	delayed	630dE	other	recovD1
117-3-D0	NA	117	3	0	amp	0.5	delayed	630dE	other	no
117-3-D1	6900000	117	3	1	amp	0.5	delayed	630dE	other	no
117-3-D10	1200000	117	3	10	amp	0.5	delayed	630dE	other	no
117-3-D2	6300000	117	3	2	amp	0.5	delayed	630dE	other	no
117-3-D3	5600000	117	3	3	amp	0.5	delayed	630dE	other	no
117-3-D4	3700000	117	3	4	amp	0.5	delayed	630dE	other	no
117-3-D5	680000	117	3	5	amp	0.5	delayed	630dE	other	no
117-3-D6	1400000	117	3	6	amp	0.5	delayed	630dE	other	no
117-3-D7	530000	117	3	7	amp	0.5	delayed	630dE	other	no
117-3-D8	1330000	117	3	8	amp	0.5	delayed	630dE	other	no
117-3-D9	1170000	117	3	9	amp	0.5	delayed	630dE	other	no
117-4-D-2	NA	117	4	-2	amp	0.5	delayed	630dE	other	recovD4
117-4-D-3	NA	117	4	-3	amp	0.5	delayed	630dE	other	recovD3
117-4-D-4	NA	117	4	-4	amp	0.5	delayed	630dE	other	recovD2
117-4-D-5	NA	117	4	-5	amp	0.5	delayed	630dE	other	recovD1
117-4-D0	NA	117	4	0	amp	0.5	delayed	630dE	other	no
117-4-D1	410000	117	4	1	amp	0.5	delayed	630dE	other	no
117-4-D10	580000	117	4	10	amp	0.5	delayed	630dE	other	no
117-4-D2	5400000	117	4	2	amp	0.5	delayed	630dE	other	no
117-4-D3	3900000	117	4	3	amp	0.5	delayed	630dE	other	no
117-4-D4	1040000	117	4	4	amp	0.5	delayed	630dE	other	no
117-4-D4	820000	117	4	5	amp	0.5	delayed	630dE	other	no
117-4-D6	220000	117	4	6	amp	0.5	delayed	630dE	other	no
117-4-D7	330000	117	4	7	amp	0.5	delayed	630dE	other	no
117-4-D8	920000	117	4	8	amp	0.5	delayed	630dE	other	no
117-4-D9	330000	117	4	9	amp	0.5	delayed	630dE	other	no
117-5-D-11	0	117	5	-11	amp	0.5	delayed	630dE	preAbx	no
117-5-D-2	NA	117	5	-2	amp	0.5	delayed	630dE	other	recovD4
117-5-D-3	NA	117	5	-3	amp	0.5	delayed	630dE	other	recovD3
117-5-D-4	NA	117	5	-4	amp	0.5	delayed	630dE	other	recovD2
117-5-D-5	NA	117	5	-5	amp	0.5	delayed	630dE	other	recovD1
117-5-D0	NA	117	5	0	amp	0.5	delayed	630dE	other	no
