Group,expgroup,nextDayCFU,Otu001,Otu003,Otu005,Otu004,Otu006,Otu014,Otu002,Otu009,Otu016,Otu011,Otu007,Otu019,Otu018,Otu024,Otu008,Other
091-4-D-6,1untrCef,0,0.734538,0.084077,0.015154,0.020692,0.012077,0.071154,0.021923,0.021923,0.002231,0.001,0.001,0.001,0.001,0.001,0.001,0.026231
091-5-D-6,1untrCef,0,0.704385,0.109308,0.032385,0.010846,0.004692,0.077308,0.020077,0.017615,0.001615,0.001,0.001615,0.002231,0.001,0.001,0.003462,0.027461
104-1-D-6,1untrCef,0,0.237308,0.221923,0.148692,0.081,0.004077,0.055154,0.114231,0.002231,0.001,0.001615,0.002846,0.001,0.002231,0.001,0.015769,0.125923
104-2-D-6,1untrCef,0,0.340077,0.317923,0.183769,0.020077,0.002231,0.069308,0.017,0.002846,0.001,0.001,0.003462,0.002231,0.001,0.001615,0.007769,0.044692
105-1-D-6,1untrCef,0,0.346231,0.242231,0.034231,0.063769,0.001615,0.137,0.106846,0.002231,0.001,0.001,0.001615,0.002231,0.001,0.001,0.008385,0.065615
105-2-D-6,1untrCef,0,0.402846,0.261308,0.109308,0.045923,0.001,0.084077,0.060077,0.004077,0.001,0.001,0.002846,0.001,0.001,0.001615,0.005308,0.033615
043-1D-6,1untrCef,0,0.583769,0.140077,0.033615,0.033,0.009,0.065615,0.027462,0.006538,0.017615,0.026846,0.001,0.001615,0.001,0.001,0.009,0.058848
043-2D-6,1untrCef,0,0.675462,0.124077,0.028077,0.025615,0.004692,0.044077,0.018231,0.004692,0.007769,0.031154,0.001615,0.001,0.001,0.001,0.005308,0.042231
043-3D-6,1untrCef,0,0.469308,0.127769,0.019462,0.020077,0.002231,0.159154,0.129615,0.005923,0.006538,0.010846,0.001,0.001,0.001,0.001,0.004077,0.057
090-1-D-6,1untrCef,0,0.701923,0.060692,0.067462,0.010231,0.055769,0.039769,0.012077,0.023154,0.018846,0.002846,0.001615,0.001,0.001,0.001,0.001,0.017616
090-2-D-6,1untrCef,0,0.740692,0.059462,0.044077,0.008385,0.007769,0.041615,0.005308,0.027462,0.054538,0.003462,0.001615,0.001,0.001,0.001,0.001615,0.017
090-3-D-6,1untrCef,0,0.620692,0.070538,0.093308,0.010846,0.015769,0.060692,0.015769,0.033615,0.055769,0.003462,0.004077,0.001615,0.001,0.001615,0.001615,0.025618
024-1D0,2cef.5,34000000,0.135769,0.194846,0.069923,0.084077,0.039154,0.011462,0.079154,0.001615,0.005923,0.004077,0.226231,0.020077,0.012077,0.019462,0.025615,0.086538
024-3D0,2cef.5,78000000,0.140077,0.091462,0.046538,0.084692,0.043462,0.023154,0.106846,0.001615,0.007769,0.004077,0.247769,0.007769,0.003462,0.022538,0.046538,0.138232
600-3D0,2cef.5,2.29E+08,0.166538,0.061923,0.029308,0.042231,0.013308,0.001,0.050846,0.001,0.001,0.020077,0.183769,0.092692,0.085308,0.068692,0.001,0.197308
600-4D0,2cef.5,1.17E+08,0.065615,0.013923,0.515462,0.005923,0.001615,0.001,0.015154,0.001,0.001,0.001615,0.133308,0.047769,0.037923,0.060077,0.001,0.113616
091-5-D0,3cef.3,0,0.564077,0.101308,0.020692,0.023769,0.109308,0.081,0.028692,0.017,0.001,0.001,0.004077,0.013308,0.005308,0.002231,0.004692,0.038538
104-1-D0,3cef.3,3500000,0.122231,0.189308,0.078538,0.076692,0.034846,0.037923,0.124692,0.026231,0.001615,0.020692,0.089,0.030538,0.006538,0.009615,0.013923,0.153618
104-2-D0,3cef.3,19100000,0.068692,0.165923,0.293923,0.056385,0.033,0.021308,0.065615,0.013308,0.006538,0.019462,0.086538,0.012077,0.010846,0.012077,0.010846,0.139462
105-1-D0,3cef.3,13200000,0.121615,0.172692,0.097,0.093923,0.026846,0.028077,0.084692,0.025,0.009,0.018846,0.105,0.020692,0.012692,0.021308,0.013308,0.165309
105-2-D0,3cef.3,20000000,0.125923,0.163462,0.093923,0.102538,0.035462,0.023769,0.104385,0.011462,0.001615,0.014538,0.093923,0.020692,0.004077,0.010231,0.007154,0.202846
042-2D0,3cef.3,1110000,0.420077,0.241,0.020692,0.015769,0.162846,0.076692,0.036692,0.012077,0.001,0.001615,0.001,0.001,0.001,0.001,0.004692,0.018848
042-3D0,3cef.3,38600000,0.015154,0.008385,0.935154,0.002846,0.008385,0.002231,0.005923,0.001,0.001615,0.001615,0.016385,0.001615,0.002231,0.001615,0.001615,0.010231
042-4D0,3cef.3,65600000,0.132692,0.002846,0.687154,0.003462,0.063769,0.001615,0.002231,0.004077,0.001,0.001,0.005308,0.001,0.001,0.001,0.071769,0.036077
091-1-D0,3cef.3,0,0.705,0.018846,0.011462,0.007769,0.135769,0.081,0.010231,0.023769,0.001,0.001,0.001615,0.001,0.001,0.001,0.001,0.014539
091-2-D0,3cef.3,0,0.553615,0.165923,0.028077,0.012077,0.112385,0.074846,0.019462,0.019462,0.001,0.001,0.002846,0.001,0.001,0.001,0.002846,0.019461
091-3-D0,3cef.3,0,0.584385,0.073615,0.047154,0.004692,0.171462,0.044692,0.025615,0.026231,0.001,0.001615,0.004077,0.001,0.001,0.001,0.002231,0.026231
091-4-D0,3cef.3,0,0.663154,0.084077,0.014538,0.006538,0.113615,0.066846,0.012077,0.018846,0.001615,0.001,0.001,0.001,0.001,0.002231,0.002231,0.026232
043-1D0,4cef.1,0,0.608385,0.124692,0.009,0.021923,0.133923,0.034846,0.042231,0.006538,0.001615,0.001615,0.001,0.001,0.001,0.001,0.007154,0.020078
043-2D0,4cef.1,0,0.348077,0.205923,0.009615,0.060077,0.129615,0.069308,0.117308,0.004077,0.001,0.001,0.001,0.001,0.001,0.001,0.006538,0.059462
043-3D0,4cef.1,300,0.543154,0.177615,0.024385,0.026231,0.047154,0.062538,0.064385,0.007154,0.001,0.001,0.002846,0.001,0.001,0.001,0.005308,0.05023
090-1-D0,4cef.1,0,0.722231,0.068692,0.028077,0.005923,0.084692,0.038538,0.008385,0.036077,0.005923,0.001,0.001615,0.001,0.001,0.001,0.001,0.010847
090-2-D0,4cef.1,0,0.551769,0.104385,0.043462,0.005308,0.144385,0.053308,0.020077,0.017615,0.017615,0.001,0.001615,0.003462,0.002231,0.002231,0.003462,0.044075
090-3-D0,4cef.1,0,0.639769,0.097,0.021308,0.010231,0.112385,0.049,0.018231,0.034846,0.008385,0.001,0.002846,0.001,0.001,0.001,0.001615,0.016384
