Group,abx,expgroup,nextDayCFU,Otu001,Otu002,Otu003,Otu004,Otu005,Otu006,Otu007,Otu008,Otu009,Otu010,Otu011,Otu012,Otu013,Otu014,Otu015,Otu016,Otu017,Otu018,Otu019,Otu020,Otu021,Otu022,Otu023,Otu024,Otu025,Otu026,Otu027,Otu028,Otu029,Otu030,Otu031,Otu032,Otu033,Otu034,Otu035,Otu036,Otu037,Otu038,Otu039,Otu040,Otu041,Otu042,Otu043,Otu044,Otu045,Otu046,Otu047,Otu048,Otu049,Otu050,Otu051,Otu052,Otu053,Otu054,Otu055,Otu056,Otu057,Otu058,Otu059,Otu060,Otu061,Otu062,Otu063,Otu064,Otu065,Otu066,Otu067,Otu068,Otu069,Otu070,Otu071,Otu072,Otu073,Otu074,Otu075,Otu076,Otu077,Otu078,Otu079,Otu080,Otu083,Otu084,Otu086,Otu088,Otu091,Otu092,Otu093,Otu094,Otu097,Otu101,Otu102,Otu105,Otu110,Otu119,Otu120,Otu122,Otu133,Otu138,Otu139,Otu145,Otu147,Otu150,Otu171,Otu172,Otu176,Otu178
021-1D-6,Ampicillin,1untr,0,0.623385,0.015385,0.114462,0.023385,0.038769,0.034462,0,0.007385,0.023385,0,0.035077,0.018462,0.001231,0.046154,0.003077,0.006154,0.001231,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
021-2D-6,Ampicillin,1untr,0,0.646154,0.021538,0.084308,0.019077,0.042462,0.012923,0,0.010462,0.024,0,0.025231,0.009231,0.006154,0.072615,0.004923,0.009846,0,0,0,0,0.000615,0,0,0,0,0,0.010462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
021-3D-6,Ampicillin,1untr,0,0.627077,0.024615,0.086154,0.032615,0.040615,0.033846,0,0.005538,0.020923,0,0.024615,0.008615,0.005538,0.064,0.004308,0.004923,0,0,0,0,0,0,0,0,0,0,0.016615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
021-4D-6,Ampicillin,1untr,0,0.468923,0.124308,0.069538,0.056,0.033231,0.024,0,0.025231,0.019692,0.000615,0.017846,0.017846,0.023385,0.072,0.004308,0.001231,0.001846,0,0,0,0,0,0,0,0,0,0.038154,0,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0.001231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
050-1D-6,Ampicillin,1untr,0,0.580308,0.036308,0.142154,0.020308,0.072,0.036923,0.002462,0.004923,0.008615,0,0,0.012308,0.006154,0.054769,0.008615,0.003077,0.009231,0,0,0,0,0,0,0.000615,0,0,0.001231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
050-2D-6,Ampicillin,1untr,0,0.763077,0.009231,0.109538,0.007385,0.059692,0.008615,0.000615,0,0.007385,0,0.001846,0.005538,0.004923,0.019077,0.001846,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
050-3D-6,Ampicillin,1untr,0,0.72,0.036923,0.109538,0.002462,0.107692,0.006769,0.001231,0.001846,0.004923,0,0,0,0.002462,0.001846,0.001846,0,0,0,0,0,0,0,0,0,0,0,0,0.000615,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
050-4D-6,Ampicillin,1untr,0,0.580308,0.019692,0.123692,0.019077,0.117538,0.033231,0.003077,0,0.005538,0,0,0.016,0.005538,0.038154,0.004308,0.001846,0.001231,0.004308,0.006769,0,0.001231,0.003077,0,0.000615,0.004923,0,0.000615,0.001231,0,0.002462,0.003077,0.000615,0.000615,0.000615,0,0,0,0,0,0,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
021-1D0,Ampicillin,2ampOT,70000,0.736,0.014154,0.060308,0.010462,0.012308,0.006154,0.033846,0.004923,0.033231,0,0.001231,0.010462,0.006769,0.026462,0.001231,0.000615,0.002462,0.000615,0.001846,0.003692,0.003077,0,0,0.008615,0,0,0.009846,0.001231,0.000615,0,0,0.003692,0.001231,0.001231,0,0,0,0,0,0,0,0,0,0,0.001846,0,0,0,0,0,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
021-4D0,Ampicillin,2ampOT,2700,0.8,0.016615,0.067077,0.006769,0.024,0.011692,0.005538,0.006769,0.013538,0,0.000615,0.000615,0.001846,0.013538,0.011692,0.001231,0,0.001846,0.000615,0,0.003077,0.001231,0,0.002462,0.000615,0,0.001846,0,0,0.001231,0.000615,0.000615,0.000615,0,0,0,0,0,0,0,0,0,0,0.000615,0.001231,0,0.000615,0.000615,0,0,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
050-1-D0,Ampicillin,2ampOT,75000000,0.102154,0.064,0.097846,0.014769,0.002462,0.020308,0.368615,0,0,0,0.028308,0,0.005538,0.016615,0,0,0.002462,0.028308,0.049846,0.001231,0.019077,0.005538,0,0.068308,0.007385,0,0,0,0,0.001846,0.025846,0.006769,0.000615,0.004308,0,0,0,0,0,0,0,0,0,0,0.001231,0,0.001231,0.000615,0,0.006154,0,0,0.003077,0.017231,0.009231,0.008,0,0,0,0,0,0,0,0,0,0.000615,0,0,0,0,0,0.006154,0,0.001231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003077,0,0,0,0,0,0
050-2-D0,Ampicillin,2ampOT,80000000,0.115077,0.136615,0.107077,0.012308,0.006154,0.004308,0.299077,0.001846,0,0,0.005538,0.041231,0,0,0,0,0,0.030154,0.041231,0.001231,0.046769,0.007385,0,0.068308,0.000615,0,0,0.000615,0.042462,0.001231,0.002462,0.019692,0.001231,0.001231,0,0,0,0,0,0,0,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004923,0,0,0,0,0,0,0
050-3-D0,Ampicillin,2ampOT,35000000,0.036308,0.026462,0.049846,0.024,0.031385,0.009846,0.384,0,0,0,0.005538,0,0.000615,0,0,0.000615,0.000615,0.073846,0.079385,0.001846,0.058462,0.019077,0,0.073231,0.020308,0.000615,0,0.014154,0,0.015385,0.006154,0.006769,0.003077,0.027077,0,0,0,0,0,0,0,0,0,0,0.000615,0,0,0.003077,0,0.007385,0,0,0,0.017846,0,0,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
050-4-D0,Ampicillin,2ampOT,120000,0.050462,0.067692,0.123077,0.004308,0.011077,0.038769,0.454769,0,0,0,0.003077,0,0,0.016,0,0,0,0.008,0.032615,0.007385,0.041231,0.005538,0,0.08,0.000615,0.002462,0,0.008,0,0,0.000615,0,0,0,0,0.000615,0,0.004923,0,0,0,0,0,0,0.006154,0,0.001846,0.004308,0.003077,0.008615,0,0,0,0.001231,0,0,0,0,0,0.006769,0,0,0,0,0,0,0,0,0,0,0,0.001846,0,0,0,0,0.004923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109-1-D0,Ampicillin,3ampD,300,0.710769,0.020923,0.000615,0,0.061538,0.088,0.082462,0.004923,0,0,0.020923,0,0,0,0.001231,0.000615,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109-2-D0,Ampicillin,3ampD,1100,0.513231,0.057846,0,0.003077,0.111385,0.180308,0.052308,0.011077,0,0,0.052308,0,0.003077,0,0.005538,0,0,0,0,0,0,0,0,0,0,0,0,0.009846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109-3-D0,Ampicillin,3ampD,500,0.697231,0.006769,0.001846,0.001231,0.102769,0.123077,0.043077,0.006154,0,0,0.013538,0,0,0,0,0.001231,0,0.000615,0,0,0,0.000615,0,0,0.000615,0,0,0.001231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109-4-D0,Ampicillin,3ampD,4000,0.795692,0.009846,0.001231,0,0.013538,0.082462,0.078154,0.001846,0,0,0.013538,0,0,0.000615,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0.002462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109-5-D0,Ampicillin,3ampD,1540000,0.323692,0.006154,0,0,0.192615,0.272615,0.153231,0,0,0,0.030154,0,0,0,0.001846,0.009846,0,0,0,0.000615,0,0,0,0,0,0,0,0.009231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111-1-D0,Ampicillin,3ampD,18600,0.006154,0.121231,0.003692,0.033846,0.297846,0.002462,0.001846,0,0,0,0.516923,0,0.001231,0.000615,0,0,0,0.001846,0.001846,0,0.002462,0,0,0.004308,0.001231,0,0,0,0,0.000615,0.000615,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111-3-D0,Ampicillin,3ampD,2400,0.008615,0.123692,0.005538,0.027077,0.217231,0.002462,0.002462,0.002462,0,0,0.600615,0,0,0,0,0,0.002462,0.001231,0.000615,0,0.001231,0,0,0.002462,0.000615,0,0,0,0,0,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111-4-D0,Ampicillin,3ampD,14500,0.009231,0.392615,0.003077,0.001231,0.151385,0.002462,0.003692,0.000615,0,0,0.428308,0,0,0.000615,0,0,0,0.000615,0.000615,0,0.001231,0,0,0.001846,0,0,0,0,0,0,0,0,0.001231,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117-1-D0,Ampicillin,3ampD,5800000,0.396923,0.052923,0,0.000615,0.04,0,0.263385,0.000615,0,0,0.154462,0,0.014154,0,0,0.002462,0,0.073846,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117-2-D0,Ampicillin,3ampD,1390000,0.581538,0.116308,0.008,0.014769,0.008,0.000615,0.193231,0,0.000615,0,0.070769,0,0.000615,0,0,0.003077,0,0.002462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117-3-D0,Ampicillin,3ampD,6900000,0.64,0.074462,0,0,0.024615,0,0.168,0,0,0,0.078154,0,0.008,0,0,0.004308,0,0.002462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117-4-D0,Ampicillin,3ampD,410000,0.531077,0.016,0.000615,0.001231,0.054154,0.000615,0.102154,0,0,0.000615,0.255385,0,0.002462,0,0,0.004923,0,0.030154,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117-5-D0,Ampicillin,3ampD,1700000,0.650462,0.072615,0,0.001231,0.044308,0,0.056615,0.004308,0,0,0.148923,0,0.004923,0,0,0.007385,0,0.009231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102-3-D-11,Metronidazole,1untr,0,0.610462,0.099077,0.017846,0.011077,0.089231,0.007385,0.003077,0.001846,0.002462,0,0.136,0,0,0.000615,0.014769,0.003692,0,0,0,0,0.000615,0,0,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000615,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102-4-D-11,Metronidazole,1untr,0,0.659692,0.052923,0.147692,0.016,0.028923,0.028308,0.006154,0.003077,0.016615,0,0.010462,0.001231,0.001231,0.012923,0.006154,0.002462,0,0,0.000615,0,0.000615,0.000615,0,0.000615,0,0,0.001846,0,0,0,0,0,0,0,0,0,0,0,0,0.001231,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102-5-D-11,Metronidazole,1untr,0,0.500308,0.142769,0.081846,0.033846,0.062769,0.008,0.003077,0.004923,0.012308,0,0.089846,0.003077,0.003692,0.030769,0.010462,0.006154,0.000615,0.000615,0,0,0,0,0,0,0,0,0.003692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107-1-D-11,Metronidazole,1untr,0,0.385846,0.147692,0.172923,0.021538,0.038154,0.043692,0.139692,0.007385,0.015385,0.000615,0.017231,0.000615,0,0,0.003077,0.000615,0,0,0,0,0.000615,0,0,0.000615,0,0,0,0.000615,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0.003077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107-3-D-11,Metronidazole,1untr,0,0.569846,0.151385,0.072,0.014769,0.014769,0.072615,0.057231,0.012923,0.012923,0,0.007385,0.001231,0,0,0.001846,0,0,0,0,0,0,0,0,0.001231,0.001231,0,0.004308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003692,0,0,0,0,0,0,0,0,0,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-1-D-11,Metronidazole,1untr,0,0.490462,0.017231,0.284923,0.031385,0.096,0.024615,0.003077,0.003692,0.001846,0,0,0.012923,0.016615,0.003077,0.010462,0,0.001231,0,0,0,0.000615,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-2-D-11,Metronidazole,1untr,0,0.641231,0.010462,0.145846,0.004923,0.158769,0.001231,0.000615,0,0.008615,0,0,0.001846,0.004923,0.016615,0.003077,0,0,0,0,0,0.000615,0,0,0.001231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116-1-D-11,Metronidazole,1untr,0,0.465846,0.124308,0.163077,0.063385,0.045538,0.062769,0.000615,0.005538,0.009846,0,0,0.003077,0.010462,0.036308,0.000615,0.001846,0.000615,0,0,0,0,0,0,0,0,0,0.003692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
