otu,phyl,order,graphOrder,family,last,n,corr,pval,abund,avgByFam
Otu00019,Bacteroidetes,Bacteroidales,2,Porphyromonadaceae,Porphyromonadaceae,14,-0.513193468,5.81E-07,0.01304,-0.629183284
Otu00012,Bacteroidetes,Bacteroidales,2,Porphyromonadaceae,Porphyromonadaceae,14,-0.551725321,3.77E-08,0.00715,-0.629183284
Otu00018,Bacteroidetes,Bacteroidales,2,Porphyromonadaceae,Porphyromonadaceae,14,-0.560682965,2.10E-08,0.01642,-0.629183284
Otu00081,Bacteroidetes,Bacteroidales,2,Porphyromonadaceae,Porphyromonadaceae,14,-0.618341821,1.66E-10,0.00177,-0.629183284
Otu00004,Bacteroidetes,Bacteroidales,2,Porphyromonadaceae,Porphyromonadaceae,14,-0.620489097,1.43E-10,0.0452,-0.629183284
Otu00001,Bacteroidetes,Bacteroidales,2,Porphyromonadaceae,Porphyromonadaceae,14,-0.627306062,8.32E-11,0.03901,-0.629183284
Otu00002,Bacteroidetes,Bacteroidales,2,Porphyromonadaceae,Porphyromonadaceae,14,-0.631261083,6.56E-11,0.00891,-0.629183284
Otu00013,Bacteroidetes,Bacteroidales,2,Porphyromonadaceae,Porphyromonadaceae,14,-0.725238142,7.59E-16,0.03643,-0.629183284
Otu00006,Bacteroidetes,Bacteroidales,2,Porphyromonadaceae,Porphyromonadaceae,14,-0.761316441,2.86E-18,0.07296,-0.629183284
Otu00015,Bacteroidetes,Bacteroidales,2,Porphyromonadaceae,Porphyromonadaceae,14,-0.762147998,2.86E-18,0.00464,-0.629183284
Otu00007,Bacteroidetes,Bacteroidales,2,Porphyromonadaceae,Porphyromonadaceae,14,-0.772470618,7.51E-19,0.08494,-0.629183284
Otu00003,Bacteroidetes,Bacteroidales,2,Porphyromonadaceae,Porphyromonadaceae,14,-0.802524508,5.09E-21,0.01595,-0.629183284
Otu00065,Proteobacteria,Pseudomonadales,14,Pseudomonadaceae,Pseudomonas,1,0.314515236,0.005535258,0.00456,NA
Otu00020,Bacteroidetes,Bacteroidales,3,Rikenellaceae,Alistipes,1,-0.781421639,2.03E-19,0.02664,NA
Otu00060,Firmicutes,Clostridiales,6,Ruminococcaceae,Oscillibacter,4,-0.437981747,3.59E-05,0.00116,-0.528233332
Otu00033,Firmicutes,Clostridiales,6,Ruminococcaceae,Ruminococcaceae,4,-0.532152428,1.55E-07,0.00152,-0.528233332
Otu00038,Firmicutes,Clostridiales,6,Ruminococcaceae,Ruminococcaceae,4,-0.558187693,2.45E-08,0.00161,-0.528233332
Otu00086,Firmicutes,Clostridiales,6,Ruminococcaceae,Ruminococcus,4,-0.584611459,3.41E-09,0.00254,-0.528233332
Otu00078,Firmicutes,Lactobacillales,8,Streptococcaceae,Streptococcus,1,0.36237249,0.001052787,0.0017,NA
