Group,abx,expgroup,nextDayCFU,Otu001,Otu002,Otu003,Otu004,Otu005,Otu006,Otu007,Otu008,Otu009,Otu011,Otu013,Otu014,Otu016,Otu018,Otu019,Otu021,Otu024,Other
117-5-D-11,Ampicillin,1untrAmp,0,0.563462,0.084692,0.119769,0.025615,0.056385,0.009615,0.001,0.003462,0.014538,0.090231,0.004692,0.019462,0.010846,0.001,0.001,0.001,0.001615,0.009616
021-1D0,Ampicillin,2ampOT,70000,0.737,0.015154,0.061308,0.011462,0.013308,0.007154,0.034846,0.005923,0.034231,0.002231,0.007769,0.027462,0.001615,0.001615,0.002846,0.004077,0.009615,0.040384
021-4D0,Ampicillin,2ampOT,2700,0.801,0.017615,0.068077,0.007769,0.025,0.012692,0.006538,0.007769,0.014538,0.001615,0.002846,0.014538,0.002231,0.002846,0.001615,0.004077,0.003462,0.023772
050-1-D0,Ampicillin,2ampOT,75000000,0.103154,0.065,0.098846,0.015769,0.003462,0.021308,0.369615,0.001,0.001,0.029308,0.006538,0.017615,0.001,0.029308,0.050846,0.020077,0.069308,0.114846
050-2-D0,Ampicillin,2ampOT,80000000,0.116077,0.137615,0.108077,0.013308,0.007154,0.005308,0.300077,0.002846,0.001,0.006538,0.001,0.001,0.001,0.031154,0.042231,0.047769,0.069308,0.126538
050-3-D0,Ampicillin,2ampOT,35000000,0.037308,0.027462,0.050846,0.025,0.032385,0.010846,0.385,0.001,0.001,0.006538,0.001615,0.001,0.001615,0.074846,0.080385,0.059462,0.074231,0.147461
050-4-D0,Ampicillin,2ampOT,120000,0.051462,0.068692,0.124077,0.005308,0.012077,0.039769,0.455769,0.001,0.001,0.004077,0.001,0.017,0.001,0.009,0.033615,0.042231,0.081,0.069923
040-1D0,Metronidazole,2metroOT,116000000,0.003462,0.001615,0.001,0.002846,0.108077,0.001,0.862538,0.001,0.001,0.001,0.001,0.001,0.025,0.001,0.001615,0.001,0.001,0.002847
040-2D0,Metronidazole,2metroOT,121000000,0.003462,0.002231,0.004077,0.002231,0.266231,0.001,0.701308,0.001615,0.001,0.001,0.001,0.001615,0.025615,0.001,0.001,0.001,0.001615,0.001
040-3D0,Metronidazole,2metroOT,134000000,0.006538,0.003462,0.005923,0.002231,0.171462,0.001615,0.777,0.001615,0.001615,0.001,0.001,0.001615,0.033615,0.001,0.001,0.002231,0.001,0.004078
040-4D0,Metronidazole,2metroOT,93000000,0.004692,0.003462,0.005308,0.001615,0.177615,0.001615,0.711769,0.001615,0.002231,0.001,0.001615,0.001,0.047154,0.002231,0.004692,0.001615,0.001615,0.047156
103-1-D0,Metronidazole,2metroOT,18300000,0.394231,0.001615,0.009615,0.001,0.140077,0.002846,0.381308,0.001,0.001,0.018231,0.004692,0.001,0.049615,0.001,0.001,0.001,0.001615,0.007155
103-2-D0,Metronidazole,2metroOT,38300000,0.013308,0.002231,0.010846,0.001,0.223154,0.003462,0.701923,0.001,0.001615,0.016385,0.001,0.001,0.029308,0.002231,0.001,0.001,0.001,0.006537
103-3-D0,Metronidazole,2metroOT,43800000,0.058231,0.004077,0.021923,0.001615,0.242846,0.009615,0.592385,0.001,0.001,0.011462,0.001,0.001,0.063769,0.001615,0.001,0.001,0.001,0.003462
109-1-D0,Ampicillin,3ampD,300,0.711769,0.021923,0.001615,0.001,0.062538,0.089,0.083462,0.005923,0.001,0.021923,0.001,0.001,0.001615,0.001,0.001,0.001,0.001,0.010232
109-2-D0,Ampicillin,3ampD,1100,0.514231,0.058846,0.001,0.004077,0.112385,0.181308,0.053308,0.012077,0.001,0.053308,0.004077,0.001,0.001,0.001,0.001,0.001,0.001,0.016383
109-3-D0,Ampicillin,3ampD,500,0.698231,0.007769,0.002846,0.002231,0.103769,0.124077,0.044077,0.007154,0.001,0.014538,0.001,0.001,0.002231,0.001615,0.001,0.001,0.001,0.003462
109-4-D0,Ampicillin,3ampD,4000,0.796692,0.010846,0.002231,0.001,0.014538,0.083462,0.079154,0.002846,0.001,0.014538,0.001,0.001615,0.001615,0.001,0.001,0.001,0.001,0.003463
109-5-D0,Ampicillin,3ampD,1540000,0.324692,0.007154,0.001,0.001,0.193615,0.273615,0.154231,0.001,0.001,0.031154,0.001,0.001,0.010846,0.001,0.001,0.001,0.001,0.012693
111-1-D0,Ampicillin,3ampD,18600,0.007154,0.122231,0.004692,0.034846,0.298846,0.003462,0.002846,0.001,0.001,0.517923,0.002231,0.001615,0.001,0.002846,0.002846,0.003462,0.005308,0.004692
111-3-D0,Ampicillin,3ampD,2400,0.009615,0.124692,0.006538,0.028077,0.218231,0.003462,0.003462,0.003462,0.001,0.601615,0.001,0.001,0.001,0.002231,0.001615,0.002231,0.003462,0.005307
111-4-D0,Ampicillin,3ampD,14500,0.010231,0.393615,0.004077,0.002231,0.152385,0.003462,0.004692,0.001615,0.001,0.429308,0.001,0.001615,0.001,0.001615,0.001615,0.002231,0.002846,0.003462
117-1-D0,Ampicillin,3ampD,5800000,0.397923,0.053923,0.001,0.001615,0.041,0.001,0.264385,0.001615,0.001,0.155462,0.015154,0.001,0.003462,0.074846,0.001,0.001,0.001,0.001615
117-2-D0,Ampicillin,3ampD,1390000,0.582538,0.117308,0.009,0.015769,0.009,0.001615,0.194231,0.001,0.001615,0.071769,0.001615,0.001,0.004077,0.003462,0.001,0.001,0.001,0.001001
117-3-D0,Ampicillin,3ampD,6900000,0.641,0.075462,0.001,0.001,0.025615,0.001,0.169,0.001,0.001,0.079154,0.009,0.001,0.005308,0.003462,0.001,0.001,0.001,0.000999
117-4-D0,Ampicillin,3ampD,410000,0.532077,0.017,0.001615,0.002231,0.055154,0.001615,0.103154,0.001,0.001,0.256385,0.003462,0.001,0.005923,0.031154,0.001,0.001,0.001,0.00223
117-5-D0,Ampicillin,3ampD,1700000,0.651462,0.073615,0.001,0.002231,0.045308,0.001,0.057615,0.005308,0.001,0.149923,0.005923,0.001,0.008385,0.010231,0.001,0.001,0.001,0.000999
102-1-D0,Metronidazole,3metroD,1900,0.558538,0.159154,0.018231,0.034231,0.020692,0.004692,0.060692,0.002231,0.001615,0.138846,0.001615,0.001,0.004692,0.001,0.001615,0.001,0.002231,0.005925
102-2-D0,Metronidazole,3metroD,0,0.626846,0.014538,0.018231,0.002846,0.050846,0.006538,0.023154,0.001615,0.001,0.247769,0.001,0.001,0.007769,0.001615,0.002231,0.001615,0.001615,0.007772
102-3-D0,Metronidazole,3metroD,0,0.553,0.121615,0.003462,0.023154,0.059462,0.002231,0.069308,0.002231,0.001,0.148692,0.004077,0.001,0.020692,0.001,0.001,0.001,0.001615,0.003461
102-4-D0,Metronidazole,3metroD,300,0.658846,0.070538,0.002846,0.015154,0.056385,0.002231,0.073615,0.002231,0.001,0.103154,0.004077,0.001,0.004077,0.002231,0.003462,0.002231,0.002231,0.012691
107-1-D0,Metronidazole,3metroD,0,0.629923,0.014538,0.001615,0.018231,0.106231,0.218231,0.012692,0.002846,0.001,0.001615,0.001,0.001,0.001,0.001,0.001,0.001615,0.001,0.003463
107-3-D0,Metronidazole,3metroD,300,0.774538,0.119769,0.002846,0.002231,0.038538,0.043462,0.007769,0.002846,0.001,0.013923,0.001,0.001,0.002231,0.001,0.001,0.001,0.001,0.002847
108-1-D0,Metronidazole,3metroD,100,0.335769,0.002231,0.532692,0.001,0.033,0.065,0.012077,0.001,0.001,0.007769,0.001,0.001,0.001615,0.001,0.001,0.001,0.001,0.018847
108-2-D0,Metronidazole,3metroD,0,0.453923,0.020692,0.359154,0.008385,0.044077,0.092077,0.012077,0.001615,0.001615,0.009,0.001615,0.001,0.001,0.001615,0.001,0.001,0.001,0.007155
116-1-D0,Metronidazole,3metroD,0,0.711154,0.090231,0.001,0.021308,0.064385,0.001615,0.005923,0.002846,0.001,0.053923,0.004077,0.001,0.002846,0.049615,0.001,0.001,0.001,0.004077
116-2-D0,Metronidazole,3metroD,0,0.332692,0.237923,0.001,0.023769,0.084077,0.001615,0.012692,0.014538,0.001,0.228077,0.011462,0.001,0.003462,0.056385,0.001,0.001,0.001,0.005308
116-3-D0,Metronidazole,3metroD,200,0.631769,0.080385,0.001,0.017615,0.146231,0.001,0.004077,0.003462,0.001,0.093923,0.005923,0.001,0.004692,0.021308,0.001615,0.001,0.001,0.001
116-4-D0,Metronidazole,3metroD,4600,0.174538,0.543769,0.001,0.052077,0.019462,0.001615,0.009615,0.015769,0.001615,0.149308,0.017615,0.001,0.004077,0.016385,0.001615,0.001,0.001,0.00654
116-5-D0,Metronidazole,3metroD,1100,0.711769,0.135769,0.001615,0.006538,0.023769,0.001,0.020692,0.004077,0.001,0.043462,0.007769,0.001,0.002231,0.050846,0.001,0.001,0.002231,0.002232
